65,5,50
9,924,792,957,948
4,14,13,10,7,39
0,13,10,9,11,46
14,14,15,10,3,27
13,15,6,11,6,26
9,13,3,14,9,5
6,5,13,12,1,28
10,11,6,14,15,7
14,10,13,0,14,9
6,9,6,14,11,14
12,5,14,5,9,27
15,2,2,5,5,1
10,9,11,8,6,9
14,10,1,13,4,38
0,12,15,7,9,45
1,5,0,12,2,8
2,6,0,13,6,15
7,10,0,1,1,31
7,14,0,11,10,15
10,8,15,2,3,21
12,1,1,3,10,9
12,9,6,5,5,6
9,4,9,10,11,13
5,6,3,13,12,25
3,12,7,14,2,19
13,10,9,6,3,36
2,11,5,5,13,4
5,11,5,4,3,1
3,13,15,8,1,33
11,6,2,8,4,35
0,3,2,15,6,12
14,10,0,4,4,16
15,15,9,14,1,50
14,6,0,0,6,46
9,0,5,0,1,2
9,6,3,13,13,48
13,15,11,2,12,33
2,11,4,10,8,47
5,10,2,2,10,24
2,10,4,4,1,30
6,0,13,8,2,38
4,8,5,2,1,23
14,14,6,5,4,7
11,4,9,1,6,48
9,9,12,11,8,23
7,4,11,12,9,5
5,12,15,12,5,32
9,4,14,0,9,0
8,4,10,7,5,37
3,11,6,15,12,46
14,9,0,15,7,5
4,0,4,2,7,30
7,15,11,14,4,30
3,12,6,4,12,15
1,14,1,10,7,15
9,1,14,11,4,45
2,13,7,5,7,50
4,11,2,9,14,5
9,5,11,11,7,12
10,4,5,4,7,0
5,4,12,7,1,9
11,14,4,2,9,40
6,0,13,6,14,47
10,12,3,8,9,7
4,15,11,15,9,17
13,1,9,4,1169,28
