30,9,50
163,968,742,683,191,857,426,526,193
31,12,12,9,27,2,22,3,28,31
6,23,25,4,1,12,10,10,28,12
21,8,19,30,2,15,5,6,8,9
2,8,25,6,26,31,16,32,31,49
31,14,3,10,5,6,15,0,9,39
15,28,33,15,17,31,19,10,26,49
19,4,3,17,24,10,28,5,33,16
6,24,17,17,24,18,14,4,1,5
6,7,14,25,22,25,13,17,28,41
9,22,0,30,5,1,18,24,27,29
7,17,27,19,22,0,9,11,31,10
23,11,1,0,30,13,10,16,32,20
3,24,7,6,17,1,5,31,29,4
10,9,8,7,31,31,6,18,21,8
4,21,3,32,13,5,5,1,10,33
5,9,6,26,27,15,28,1,10,23
25,2,3,24,3,19,12,6,9,0
0,17,4,26,24,7,25,28,33,23
12,22,7,10,15,0,10,33,1,36
9,33,7,4,24,9,12,31,23,3
19,15,27,24,23,7,16,9,13,17
27,12,16,10,12,25,11,8,5,9
1,18,25,8,13,4,8,15,33,9
17,20,5,27,8,23,16,32,18,33
14,25,12,9,24,5,17,6,8,27
22,4,14,3,22,17,22,30,7,22
30,0,4,15,33,25,30,8,7,13
19,27,14,16,30,0,6,17,20,36
26,30,14,26,15,0,29,32,3,35
12,30,21,31,2,19,1,21,608,10
