90,5,50
815,46,706,409,476
6,2,2,9,3,44
5,6,0,7,2,19
6,5,2,7,7,44
7,3,10,2,2,3
5,6,1,0,3,34
7,7,9,10,5,33
0,0,1,0,4,28
6,0,0,8,7,27
2,9,7,6,4,5
5,7,3,8,11,41
11,7,8,6,7,22
5,8,6,10,4,5
1,3,4,9,3,35
9,11,8,6,9,35
6,11,9,2,1,11
0,4,7,2,4,43
10,4,10,2,6,0
1,4,11,11,6,43
4,11,10,8,11,12
3,8,7,0,7,36
4,7,3,9,9,17
0,2,8,3,4,22
2,2,7,2,8,48
10,6,2,2,11,29
5,6,6,4,3,37
0,3,10,3,10,17
1,6,4,3,8,14
10,11,9,10,7,5
2,9,5,6,9,27
0,7,10,1,2,12
7,5,6,2,6,20
3,11,10,0,8,1
11,8,10,2,3,32
1,8,1,11,2,24
1,0,8,6,8,26
7,3,6,5,6,25
9,0,3,3,8,40
11,2,7,11,6,7
1,3,9,6,3,45
3,0,3,4,5,47
9,8,0,11,8,15
7,10,1,10,10,30
11,9,11,4,6,9
11,4,2,5,10,8
2,3,10,11,2,28
5,9,0,10,6,8
6,10,7,8,5,28
0,6,0,7,10,44
8,6,0,7,10,40
10,8,6,2,0,14
2,11,1,1,6,42
9,8,7,4,4,39
9,1,9,1,2,16
5,3,0,3,7,20
1,2,11,9,1,0
1,3,0,6,1,35
2,7,5,9,11,18
3,4,6,8,8,5
1,0,7,3,10,7
2,3,4,2,2,24
5,9,5,8,11,44
1,3,8,1,6,13
2,6,8,2,7,1
2,9,10,7,10,3
6,5,6,3,10,3
6,3,9,1,0,38
11,9,8,5,5,4
4,7,9,9,7,6
0,2,3,7,0,44
4,9,1,10,11,34
8,0,9,3,6,13
5,5,5,1,4,36
11,4,10,4,7,1
7,6,2,5,3,13
11,8,7,3,6,3
1,8,9,10,6,49
10,6,5,9,7,34
11,7,0,9,1,12
5,4,9,7,0,22
10,4,11,7,1,28
9,2,8,4,5,4
8,0,0,7,0,39
0,1,2,11,4,5
5,4,2,6,10,42
6,1,3,5,1,46
11,8,2,2,3,48
8,8,4,9,9,24
2,7,1,5,0,23
2,10,10,10,10,25
8,2,9,6,11,1
