95,3,50
390,304,211
5,0,3,29
9,6,5,15
6,4,9,39
8,9,6,48
4,10,2,10
1,4,4,32
0,2,7,29
6,5,10,9
6,8,0,10
7,7,9,48
1,0,1,25
4,7,5,40
6,4,4,17
6,3,6,49
10,7,9,14
3,7,10,19
8,6,9,18
2,3,0,21
5,5,6,29
8,9,7,23
4,4,1,14
7,8,6,42
9,8,9,35
7,10,4,16
10,6,2,29
3,2,2,45
1,6,9,43
2,8,8,39
9,4,3,12
4,6,8,38
6,4,4,6
5,0,6,50
4,1,4,42
4,5,4,41
9,3,7,30
9,10,7,40
3,2,8,49
10,9,4,3
10,6,4,18
4,7,5,27
5,0,9,31
0,3,8,45
3,7,0,33
9,9,2,43
7,2,3,38
8,4,1,44
8,3,6,39
8,4,7,49
4,6,1,22
5,9,4,5
8,8,7,17
0,7,8,2
9,0,3,17
1,3,2,0
5,5,10,8
9,1,0,0
0,8,8,42
9,3,10,33
3,3,6,25
10,1,0,39
3,2,9,2
0,1,7,30
5,9,6,20
10,0,3,33
2,4,6,43
1,6,7,30
3,2,2,25
5,2,5,32
8,4,2,33
4,10,10,2
10,6,8,44
10,3,10,9
9,9,3,29
10,10,3,34
1,4,3,12
7,6,4,2
3,8,7,50
10,4,0,50
0,3,6,23
5,9,4,31
10,7,9,30
3,3,2,47
10,7,5,5
10,2,1,34
4,10,7,20
1,5,9,17
5,9,5,2
6,7,7,38
5,0,2,23
4,9,4,8
0,7,0,1
4,5,1,22
8,3,9,12
5,8,4,41
3,10,10,29
