65,3,50
654,619,716
0,14,6,15
3,12,2,28
13,12,12,29
2,14,2,11
4,0,6,50
1,3,7,47
14,0,14,29
2,7,6,45
6,9,1,13
12,7,6,10
12,9,15,50
7,4,2,28
6,6,14,30
3,4,9,24
10,6,7,15
1,0,14,7
6,4,8,31
8,7,8,37
8,2,0,40
1,10,2,22
6,1,6,8
12,14,12,18
8,11,3,0
9,13,9,9
8,9,3,25
15,5,15,10
9,13,8,43
9,8,11,31
13,10,8,13
4,10,10,33
13,7,10,9
2,6,0,26
5,15,12,25
10,10,5,35
6,4,0,43
5,6,3,18
2,7,10,43
3,1,9,23
3,2,3,36
4,4,11,12
4,14,9,50
0,12,0,18
7,13,13,14
0,12,2,29
13,2,4,37
2,9,2,26
1,4,7,38
8,13,2,27
14,14,4,6
9,5,9,49
4,2,10,26
15,2,2,10
7,1,0,0
8,12,13,30
0,5,15,15
5,10,12,31
10,8,3,49
14,11,8,43
5,9,14,9
12,1,10,15
7,14,5,30
13,0,2,5
6,13,1,9
4,3,3,17
0,2,640,18
