50,4,50
676,767,461,371
14,8,5,19,18
6,4,3,2,16
5,7,8,10,42
17,1,5,10,16
20,19,14,11,49
17,5,8,17,13
19,20,1,17,21
17,8,15,14,43
20,11,6,13,23
5,16,14,18,26
11,8,1,15,43
3,14,4,10,15
8,17,19,11,22
2,2,7,19,42
5,4,0,20,45
16,15,12,0,4
16,7,6,13,17
7,20,12,8,11
4,6,15,17,43
0,3,7,9,46
9,8,14,17,26
5,3,20,5,3
18,2,18,17,28
19,1,4,10,2
18,4,5,19,34
2,20,8,18,1
1,9,11,19,26
11,19,14,20,32
0,19,15,20,41
18,0,15,15,7
2,7,15,10,31
0,20,11,18,24
10,10,2,8,44
18,6,14,17,49
3,16,10,0,20
18,3,12,0,9
1,18,17,13,23
5,16,13,15,20
11,14,3,14,8
15,20,13,11,14
0,6,15,17,12
17,11,14,10,18
1,7,7,1,12
9,15,14,15,12
12,2,8,0,11
18,18,7,1,30
3,10,13,8,15
11,1,8,16,30
1,9,19,4,39
5,6,0,215,40
