100,3,50
655,149,947
10,5,6,32
6,7,1,33
2,3,7,17
3,10,9,0
5,9,7,17
9,8,5,36
2,10,1,0
7,1,6,30
6,0,0,48
8,3,7,30
4,2,4,50
4,3,10,14
0,3,3,27
10,5,8,13
0,2,1,16
4,2,3,46
6,7,5,7
8,9,1,37
1,7,5,47
6,8,8,41
4,10,10,26
5,4,5,16
1,7,8,43
9,1,6,27
4,0,6,24
7,0,0,50
4,3,10,34
8,4,2,8
0,10,2,37
8,0,8,9
2,9,5,9
5,8,2,8
9,0,5,9
6,6,8,29
5,7,3,42
6,1,9,8
8,5,1,10
9,0,1,21
2,4,5,19
2,8,6,12
8,0,9,0
6,2,2,21
4,0,7,46
5,0,1,44
9,6,5,46
3,3,7,20
8,6,1,25
0,10,8,26
8,7,7,36
4,5,0,13
0,10,5,27
10,8,5,33
9,4,6,45
0,8,5,36
4,10,9,6
8,9,3,23
3,5,3,29
6,2,1,30
9,9,3,14
2,3,6,33
6,9,1,9
7,5,7,36
5,9,4,44
0,1,4,16
7,9,7,20
7,9,3,34
8,1,9,15
2,6,2,36
5,0,2,18
4,0,6,29
2,7,1,44
4,1,8,30
2,6,4,26
0,1,10,25
9,0,7,8
9,4,10,0
10,10,3,24
5,3,5,34
8,7,0,13
10,7,8,30
7,9,8,39
6,3,8,19
5,0,8,29
0,4,0,48
1,3,6,33
1,1,7,34
0,2,10,36
10,1,4,44
3,2,3,23
5,1,4,43
8,3,7,35
0,6,2,36
1,2,10,47
2,3,10,2
5,5,8,18
5,1,3,35
5,10,5,24
7,10,8,37
6,1,9,8
7,3,270,37
