85,3,50
55,348,239
1,7,5,42
9,7,8,18
2,4,9,22
3,0,3,27
9,7,7,26
1,7,1,36
1,10,4,24
9,11,4,43
6,10,4,41
2,3,11,30
1,1,9,8
8,10,6,11
4,3,3,27
10,6,10,13
4,10,11,24
10,2,3,3
5,0,11,0
8,4,4,9
10,5,10,14
11,11,6,46
6,6,5,8
10,6,5,14
0,7,6,35
0,11,1,19
0,10,4,4
1,9,11,18
11,2,1,19
7,2,10,17
7,0,11,29
6,2,2,8
8,2,8,47
0,11,4,19
9,7,10,35
6,11,8,3
1,9,4,1
5,9,10,48
2,3,3,19
2,7,10,48
6,10,2,48
10,5,4,43
5,4,2,46
2,9,4,23
4,9,2,36
5,5,3,44
8,4,4,4
9,5,0,19
4,8,10,1
2,6,0,15
3,1,11,38
7,0,6,45
3,10,7,21
3,0,4,24
10,2,11,13
9,7,8,47
3,4,6,42
0,5,8,46
5,9,9,36
7,11,11,47
0,6,8,29
10,2,9,40
9,7,2,18
4,5,11,38
7,9,10,25
3,4,8,29
1,4,4,38
0,7,1,17
5,6,4,25
0,10,6,3
8,7,0,14
3,9,7,36
7,3,0,6
5,8,5,47
8,4,1,12
8,11,10,4
11,1,8,28
3,5,8,39
2,11,10,46
10,8,7,20
1,8,11,38
0,7,2,12
2,3,11,28
11,9,10,17
6,5,2,50
0,3,10,28
6,7,10,28
