85,4,50
901,574,348,684
9,3,8,2,29
7,9,3,10,23
8,1,0,11,3
2,11,8,1,42
6,7,3,6,2
6,5,2,2,48
5,8,1,10,38
7,3,5,3,23
7,9,8,6,43
6,3,6,10,0
10,7,3,2,19
11,6,5,10,41
4,11,8,2,15
1,3,7,1,39
8,4,11,2,0
0,0,3,6,44
6,3,5,9,24
9,11,5,10,48
1,5,4,6,48
6,3,3,1,27
8,1,9,9,13
0,10,4,4,48
4,9,2,0,1
8,0,4,5,19
0,2,4,5,42
7,1,9,8,15
5,6,1,2,7
11,6,2,9,10
2,7,7,8,23
3,0,2,5,38
11,7,1,9,35
10,7,2,6,16
10,3,0,1,41
8,2,6,9,0
4,4,8,2,14
6,7,5,4,26
10,9,5,7,38
4,0,0,5,11
9,7,0,6,29
7,3,2,11,22
6,7,8,8,43
8,2,3,0,13
10,1,2,8,28
3,9,4,1,45
11,7,1,2,16
0,3,9,0,7
11,0,6,1,31
10,5,7,11,26
2,11,7,9,7
4,11,4,1,17
8,2,0,8,27
7,8,1,7,27
2,3,7,5,32
4,11,2,1,14
5,7,3,6,37
1,4,3,8,6
11,0,7,10,39
4,0,3,11,7
1,11,5,5,17
5,8,0,9,15
4,8,9,7,33
9,6,5,7,2
5,8,11,0,13
3,8,1,2,26
10,0,11,4,0
7,11,11,10,2
8,10,2,9,9
6,4,7,0,28
3,9,10,7,22
8,3,5,11,18
10,10,10,2,24
4,0,9,10,39
7,3,4,6,6
1,11,3,10,6
9,4,5,1,36
10,11,10,1,23
2,6,11,2,16
3,2,0,7,21
2,11,10,6,37
8,1,10,8,50
1,3,0,2,38
4,6,9,2,34
3,7,7,6,32
4,6,11,0,1
8,10,5,653,19
