55,3,50
141,820,601
3,6,1,34
5,15,5,13
16,2,11,49
6,12,17,49
18,17,1,50
5,11,2,21
7,7,13,41
7,13,3,35
3,11,4,31
17,9,16,19
14,12,6,29
18,7,14,6
4,6,8,47
18,1,13,2
3,3,17,49
1,7,0,2
0,8,18,12
11,7,4,11
8,0,9,11
18,0,6,42
8,15,12,30
12,4,16,44
16,1,9,2
17,1,12,7
8,5,6,33
18,3,0,50
10,1,4,16
0,13,13,19
4,7,15,44
13,5,2,19
7,17,16,49
7,5,13,18
7,15,0,20
18,12,13,25
18,6,8,36
16,6,14,11
5,0,16,22
12,7,9,38
0,8,17,23
13,15,9,36
0,12,10,46
8,13,17,39
4,14,16,29
11,10,5,48
15,8,15,46
5,1,9,40
13,13,17,34
3,3,9,42
6,15,13,24
1,11,8,46
0,3,12,0
16,0,17,39
12,18,2,42
17,1,8,22
17,14,77,8
