10,14,50
150,947,487,8,511,477,128,300,932,869,286,11,139,998
8,50,14,78,39,31,77,97,99,17,31,40,0,25,9
61,89,49,66,100,35,3,85,77,96,20,52,61,26,28
54,91,90,7,10,48,81,60,22,57,40,2,94,47,5
47,51,31,63,3,68,72,16,73,79,24,73,42,54,39
18,90,59,35,77,52,20,27,62,83,5,19,52,24,11
51,64,0,81,1,13,31,34,68,54,86,67,84,9,8
5,97,29,87,69,24,44,64,34,52,64,27,57,17,30
19,31,32,82,75,35,40,52,6,96,78,75,19,48,49
17,70,15,89,51,36,55,50,85,26,80,39,0,77,25
81,59,1,83,3,20,44,0,81,59,67,22,82,66,35
