30,6,50
60,553,108,469,294,62
31,28,9,3,7,32,45
6,5,9,22,12,27,28
24,24,2,7,27,25,26
2,20,19,33,24,27,5
22,10,10,3,10,1,17
29,11,9,21,33,24,6
10,30,11,2,24,19,40
23,7,15,10,27,33,19
20,23,32,24,13,8,16
9,22,29,30,6,2,8
22,23,2,6,26,0,48
15,1,19,7,9,5,2
30,23,24,20,26,26,14
15,18,6,0,22,28,9
9,19,7,17,3,12,28
32,21,21,28,3,6,41
22,8,6,6,23,21,27
7,16,1,11,10,7,29
17,8,23,31,8,12,24
9,25,9,16,24,12,0
3,27,16,19,18,11,11
25,13,30,16,4,6,29
13,13,2,18,0,33,21
13,9,22,15,8,0,43
26,7,9,14,7,7,8
25,15,2,1,9,24,24
30,7,24,33,25,22,13
25,1,23,28,15,29,12
13,4,0,23,20,5,34
28,31,2,2,2,23,6
