75,3,50
842,149,981
1,12,2,16
0,5,10,16
10,7,8,43
9,4,10,27
13,12,8,35
5,13,11,38
7,8,9,5
0,11,3,12
3,0,4,46
5,2,4,15
2,5,5,31
3,5,12,33
2,2,12,40
9,7,3,16
13,13,4,42
12,4,4,33
4,13,0,17
4,4,1,17
13,9,12,32
3,3,8,2
12,11,4,10
4,13,6,30
3,11,0,18
5,8,11,7
7,6,3,41
5,6,9,31
7,4,10,21
7,9,9,17
12,4,5,47
12,2,8,38
0,5,12,16
3,1,7,5
3,9,7,34
1,0,3,39
10,0,2,10
0,2,11,7
13,0,12,32
12,9,3,21
5,0,6,50
5,1,12,16
9,6,1,48
10,4,12,47
2,0,4,44
0,7,9,21
3,11,1,14
13,8,4,8
7,1,8,46
8,1,10,2
11,0,7,22
6,10,6,32
5,2,11,3
4,6,6,10
9,12,0,22
0,0,0,26
9,11,13,15
10,8,9,23
1,0,11,3
12,11,12,43
3,7,12,31
2,12,0,45
12,3,0,48
5,8,11,23
0,0,0,6
5,7,12,11
4,8,4,2
12,3,7,4
10,7,3,28
2,5,4,43
0,13,10,15
12,3,2,22
13,5,2,23
11,1,1,48
0,12,6,36
10,7,13,37
2,10,576,5
