50,6,50
946,200,168,233,713,203
15,1,6,11,10,3,35
4,6,3,5,5,15,27
5,8,13,9,6,20,7
10,19,18,7,15,4,35
12,7,12,17,14,6,24
6,1,14,13,10,4,31
18,7,9,9,3,10,24
1,9,10,2,4,16,38
1,17,0,12,15,11,4
20,5,18,18,15,6,10
18,9,14,1,5,16,45
13,11,2,14,11,0,30
18,4,12,14,13,5,6
15,9,0,18,18,16,36
14,0,11,14,4,19,22
5,8,8,5,16,6,35
3,7,8,15,14,17,45
1,19,12,18,5,14,21
6,10,11,14,1,11,39
1,8,16,5,4,6,15
15,10,15,6,7,8,41
5,20,11,18,12,19,6
5,15,8,15,11,20,24
2,3,9,12,0,17,25
11,18,7,3,0,19,2
14,16,14,1,5,15,10
1,17,17,12,2,15,18
15,17,20,7,13,14,32
20,19,1,3,0,3,7
6,15,5,11,14,10,45
16,3,7,17,13,12,25
11,12,3,3,4,12,31
11,12,0,4,5,19,25
15,6,3,16,19,17,43
3,17,4,0,20,20,42
16,11,8,0,7,11,36
14,0,17,10,19,5,45
0,9,17,11,16,8,41
18,14,17,15,19,3,15
2,11,18,5,16,4,5
13,10,20,19,12,4,6
11,5,12,6,4,19,22
9,1,18,10,11,5,18
17,16,8,11,19,14,28
7,17,15,10,7,7,44
10,2,14,12,16,17,23
14,15,8,16,13,14,4
17,3,16,20,12,6,40
8,1,16,18,4,11,26
11,4,20,12,11,18,27
