50,3,50
412,547,984
7,10,0,44
19,0,7,42
11,15,16,18
17,9,19,28
6,7,1,7
0,20,15,42
6,4,0,13
15,17,9,15
0,1,1,28
11,8,1,28
12,13,6,6
7,2,19,43
14,12,9,39
19,1,20,0
6,9,9,32
3,14,18,45
5,5,3,30
6,12,18,47
10,4,19,34
20,3,20,1
18,20,7,3
13,15,10,20
1,8,20,23
8,1,19,32
3,13,8,47
3,11,10,24
8,6,6,44
5,6,6,6
7,19,2,42
3,19,1,33
3,0,13,11
3,6,20,44
13,3,16,39
5,0,3,48
10,17,2,40
19,20,12,41
16,4,10,12
13,14,18,24
19,5,13,38
8,13,3,27
2,4,10,11
0,2,3,3
19,7,12,47
6,17,10,15
11,2,0,16
11,18,14,9
14,6,7,9
9,2,7,31
15,2,17,10
15,11,543,33
