25,6,50
477,32,401,57,829,298
29,19,24,28,37,12,27
20,15,31,14,25,20,21
23,4,7,9,19,1,9
15,30,18,35,35,35,5
25,35,10,3,32,38,41
7,10,34,21,35,18,32
32,6,28,29,5,25,12
31,3,3,30,15,32,35
39,5,22,6,22,26,6
21,39,15,30,14,9,7
37,28,36,39,18,3,26
9,22,15,24,30,15,31
26,5,20,25,0,24,13
28,9,17,31,24,10,4
18,22,3,1,31,39,26
28,39,33,40,9,11,43
37,31,36,34,31,18,17
27,37,2,34,1,19,24
3,13,36,40,29,12,47
6,28,40,38,17,29,33
12,9,2,24,30,0,44
24,0,40,27,30,29,14
7,15,7,16,20,22,30
2,1,3,24,16,27,33
38,28,38,25,12,14,34
