45,3,50
223,626,395
19,1,20,10
21,2,4,15
12,22,2,25
20,14,22,15
7,7,1,31
16,9,16,14
9,22,22,49
14,3,11,25
17,12,6,15
4,14,11,12
8,6,0,16
16,12,16,31
13,15,3,35
8,16,17,40
12,5,18,1
9,20,20,13
9,6,20,14
4,4,0,2
14,2,4,48
6,4,21,42
22,13,7,34
5,20,5,16
16,22,5,20
13,2,9,33
4,2,15,10
22,19,9,9
1,4,1,6
7,2,2,5
1,20,6,0
21,10,3,46
16,12,12,22
20,16,12,4
13,1,14,22
1,9,20,8
8,22,22,14
9,16,14,31
17,12,7,42
10,19,1,25
1,14,2,35
7,5,12,46
6,11,12,23
18,4,12,21
17,12,6,1
1,21,21,49
14,0,15,3
