100,3,50
775,304,557
2,7,3,4
10,2,5,15
3,1,6,47
5,3,4,6
9,10,6,0
0,0,3,23
4,7,4,20
2,2,10,50
2,8,5,13
4,3,0,35
9,8,1,23
2,0,2,17
6,6,6,6
9,9,7,26
8,2,9,30
4,6,10,20
10,3,5,50
2,0,0,40
0,8,7,38
5,7,6,3
3,2,9,24
9,8,5,43
1,0,2,21
6,9,5,27
6,10,0,0
8,2,10,6
1,5,9,27
0,5,3,42
3,4,1,40
9,5,10,6
5,1,8,14
9,6,4,18
6,5,7,0
9,1,2,0
8,3,1,22
4,4,4,48
10,0,7,38
4,2,5,36
8,2,6,28
7,10,0,24
1,8,6,9
8,9,9,47
3,8,10,1
0,0,1,44
3,9,7,1
7,6,3,36
8,5,9,2
0,9,8,36
6,5,6,32
3,8,0,27
0,5,0,43
3,3,2,13
10,0,8,7
10,10,2,45
6,0,3,27
5,5,2,28
2,1,4,47
5,2,0,13
3,1,4,44
0,9,3,25
9,6,5,9
3,3,1,13
9,1,9,11
0,10,2,14
0,5,5,4
1,8,3,34
6,3,2,4
2,1,4,33
3,7,0,8
0,2,3,50
5,0,3,40
9,8,9,41
5,10,6,3
2,8,7,2
0,1,6,45
4,9,5,27
5,6,4,25
0,8,10,25
3,4,0,17
9,10,5,39
5,7,9,41
6,3,1,47
0,5,5,30
9,3,2,7
5,7,2,4
7,7,8,45
9,3,3,50
5,4,5,0
3,3,6,9
0,8,8,50
8,4,4,1
2,9,1,6
4,4,7,41
8,2,4,48
0,9,10,38
5,5,8,2
10,1,0,27
4,2,1,32
3,1,7,47
3,0,230,19
