90,6,50
786,163,405,252,305,657
10,5,10,1,6,5,41
6,11,4,7,0,10,25
4,5,7,10,9,0,34
4,9,2,11,5,11,32
6,11,3,9,0,8,29
4,3,6,10,1,3,27
3,3,6,2,11,7,5
11,5,6,5,8,2,45
1,0,9,10,0,1,5
10,9,0,9,8,1,33
6,7,1,4,0,10,14
11,11,8,0,8,0,43
8,6,7,7,9,10,21
5,1,2,8,10,3,17
3,1,4,4,1,6,3
10,9,8,2,0,4,43
6,6,10,11,5,10,29
9,6,2,4,11,1,45
11,7,0,1,2,4,31
9,3,8,10,6,2,5
2,0,2,11,0,0,41
5,6,7,9,5,5,32
11,8,7,4,3,3,26
7,8,11,0,8,5,26
9,9,0,8,9,7,16
8,6,3,11,8,4,6
11,2,6,6,2,1,4
9,8,0,5,5,0,50
9,5,10,10,10,7,16
3,3,6,7,10,4,47
11,7,6,6,1,10,44
2,5,0,1,5,11,15
6,4,2,5,4,11,47
2,5,3,4,1,8,47
9,8,5,10,2,0,41
8,10,0,6,0,4,14
8,4,3,9,10,7,49
11,2,3,1,8,10,45
10,10,11,11,4,5,28
11,6,10,10,0,2,44
9,1,8,0,10,3,11
6,11,7,10,7,2,23
4,4,4,11,1,2,19
5,1,3,0,0,6,40
11,1,5,2,5,9,31
1,2,10,6,3,3,36
3,8,11,11,6,6,17
3,4,5,2,3,4,34
5,2,3,6,5,3,43
6,3,7,4,9,6,9
2,0,11,8,11,1,19
11,0,10,6,5,8,40
10,8,11,7,5,0,35
3,4,7,6,1,3,48
8,11,8,2,3,0,8
6,1,0,6,9,1,40
2,6,7,9,1,0,27
9,10,7,5,9,0,18
0,1,5,2,5,9,43
7,6,9,6,8,1,48
5,4,9,4,8,6,37
1,6,8,10,11,2,47
1,9,8,8,0,7,30
0,3,10,1,4,10,3
5,11,3,1,9,5,50
7,11,8,4,1,6,22
2,1,3,2,0,1,46
9,8,8,10,9,8,20
4,5,11,8,4,2,35
7,2,0,3,7,1,13
8,7,9,3,10,3,37
7,5,11,7,3,8,0
9,7,6,1,1,5,31
9,3,6,7,6,11,4
9,1,8,3,9,5,17
6,8,9,2,4,8,18
2,3,6,11,2,5,32
11,1,8,5,10,6,19
1,10,10,2,2,10,46
1,7,9,4,8,0,28
6,1,2,5,10,1,33
5,9,1,2,8,8,15
10,3,0,11,5,7,45
1,11,1,7,1,0,38
4,6,5,2,9,11,35
9,10,0,10,2,9,33
1,8,10,10,0,9,3
8,7,9,1,10,3,9
8,8,2,4,10,4,48
1,1,6,0,3,4,29
