35,7,50
747,103,823,606,455,961,254
12,15,1,11,16,11,26,31
21,15,24,12,12,3,0,16
27,7,4,19,6,5,5,13
2,5,18,25,9,14,19,33
16,25,17,13,17,0,23,26
27,15,17,19,1,14,2,11
10,2,27,21,18,3,9,5
0,22,10,21,5,2,7,1
16,26,10,3,2,22,22,10
19,10,24,10,23,16,7,48
11,25,16,26,16,24,14,25
24,2,2,27,17,0,7,50
19,28,12,13,9,28,21,15
25,25,26,3,7,4,24,37
19,7,26,18,14,22,23,25
6,16,23,24,6,26,7,48
27,26,16,24,19,2,6,12
27,5,16,23,27,20,18,34
27,13,17,4,22,7,28,48
26,14,4,26,22,8,9,9
19,10,4,26,18,7,4,16
3,25,7,25,19,18,2,9
25,19,17,20,26,8,12,26
19,26,8,3,28,12,7,13
4,26,23,20,19,13,5,6
17,12,27,22,4,1,3,26
11,23,13,27,9,20,28,38
12,24,1,23,18,10,7,30
25,0,2,14,9,14,11,29
27,7,4,12,9,2,12,38
14,21,15,25,22,7,2,49
2,26,20,10,17,1,5,46
5,22,27,0,9,25,19,23
14,12,2,28,26,11,28,38
0,28,10,21,24,13,359,18
