60,4,50
890,269,550,423
16,1,15,4,40
0,5,5,8,29
10,2,3,7,10
2,6,13,4,22
8,4,14,14,0
12,3,3,16,48
14,12,3,7,12
15,0,7,5,30
0,16,10,4,9
9,16,9,16,48
5,6,6,10,37
6,14,5,14,16
5,7,1,16,34
11,14,0,7,0
5,6,16,10,36
0,5,12,13,15
15,4,13,5,18
15,1,1,10,10
4,7,5,12,8
11,14,0,9,27
16,2,10,14,20
11,0,1,12,13
13,1,0,2,0
0,1,4,1,20
7,3,11,15,7
6,13,5,12,41
14,15,9,5,50
16,11,14,0,4
9,4,0,15,47
13,9,3,6,46
15,1,16,11,3
1,15,12,4,38
10,16,2,7,37
10,3,5,4,40
15,2,10,15,42
7,11,1,9,25
10,0,9,1,3
1,13,1,7,39
5,14,14,13,47
13,2,3,14,39
2,9,5,3,34
0,10,3,13,45
1,4,12,5,6
10,15,11,3,49
0,6,12,9,37
15,5,13,3,2
9,13,0,6,6
11,13,16,7,44
9,7,11,5,36
11,5,14,16,34
13,0,1,13,22
10,0,6,7,1
9,3,11,5,35
2,7,1,14,29
14,4,2,7,12
11,10,0,3,5
11,10,9,1,42
10,10,5,7,46
2,2,3,4,6
14,4,11,291,19
