75,3,50
164,703,995
1,4,7,24
13,7,10,9
0,8,9,42
0,11,8,16
6,9,2,0
5,10,7,19
0,10,10,33
10,3,2,30
8,1,5,34
10,3,7,44
2,4,5,26
3,7,3,45
13,11,3,12
7,4,10,47
7,0,6,43
1,3,11,24
7,2,2,30
10,9,10,45
0,4,12,43
2,12,8,20
11,1,5,30
12,2,10,28
2,3,9,19
9,1,4,39
8,4,12,46
6,0,4,21
8,13,1,10
4,7,8,29
3,8,8,12
4,6,3,3
12,10,13,16
1,1,5,50
11,5,10,12
6,10,6,43
4,6,6,16
3,12,3,10
13,5,8,37
11,6,11,19
12,1,2,32
0,1,13,38
7,1,2,4
10,12,5,8
1,6,13,44
6,12,8,13
10,10,12,25
2,5,10,28
11,7,10,32
7,1,10,18
9,0,2,42
13,5,3,25
10,9,6,19
11,0,5,19
6,11,13,19
10,0,5,42
11,12,3,6
13,2,11,13
3,10,0,11
13,11,9,6
0,7,1,15
5,4,4,40
6,9,8,3
10,6,12,26
1,11,7,8
1,5,4,25
5,3,2,49
13,0,2,23
0,5,10,48
7,1,11,45
7,7,10,36
11,5,6,6
2,5,10,16
11,6,6,15
2,3,8,4
8,3,0,4
4,10,437,28
