50,4,50
870,126,397,752
3,10,6,6,44
10,13,4,20,3
17,13,9,10,0
4,0,17,3,28
15,15,17,5,23
14,2,8,18,4
15,20,20,20,26
14,3,6,11,47
6,11,0,18,8
19,17,5,11,5
12,5,15,15,6
2,6,19,1,27
6,20,5,10,45
12,4,3,5,45
10,19,6,6,27
13,14,20,12,27
18,19,18,1,43
5,17,12,8,25
14,8,17,8,41
14,2,13,3,22
1,10,2,9,26
16,11,5,12,15
5,13,3,3,20
20,14,3,5,14
9,12,8,20,36
20,8,5,12,36
4,15,13,19,43
7,7,3,8,11
2,11,18,11,35
11,12,14,15,5
0,19,20,19,17
11,15,9,4,24
10,13,4,4,15
1,18,3,9,8
5,19,4,11,24
15,20,15,19,50
3,20,6,11,10
18,3,17,16,35
7,4,16,4,20
7,20,20,19,49
11,3,11,4,8
18,20,14,5,12
11,18,15,17,8
4,8,3,17,21
5,2,6,9,29
17,0,7,20,3
12,8,13,10,49
15,1,16,3,32
0,8,10,2,38
12,19,16,49,3
