30,5,50
632,491,241,482,572
2,4,1,19,23,39
5,4,32,17,12,26
7,6,18,14,32,34
4,33,12,1,8,37
20,4,8,27,24,32
0,11,20,11,13,38
18,9,16,30,25,24
21,9,12,16,24,35
0,0,6,20,31,50
16,30,23,26,11,45
22,16,2,21,24,10
13,16,32,31,10,35
3,16,10,16,5,28
25,11,1,6,17,29
13,7,15,25,20,6
30,18,9,25,13,0
20,32,13,29,18,7
33,1,4,13,8,40
17,24,14,16,17,22
8,21,1,14,18,38
1,1,31,10,3,46
31,33,25,5,10,49
24,9,26,10,31,24
15,17,8,31,20,19
11,8,22,0,22,11
24,9,25,23,6,13
30,9,2,20,19,46
9,23,23,5,18,47
19,4,4,6,14,28
12,25,15,27,115,20
