95,4,50
236,845,318,544
7,0,3,1,30
9,10,10,7,4
3,8,2,6,19
2,5,5,0,9
4,7,5,0,45
5,0,4,9,49
9,7,3,3,35
8,9,9,6,34
3,0,9,7,49
3,3,9,2,47
7,3,7,9,3
9,8,3,2,18
1,10,4,5,21
1,9,4,10,48
5,4,2,3,23
4,3,9,6,22
2,8,5,8,14
5,7,8,8,6
5,7,9,4,15
10,4,4,6,36
2,2,5,0,19
10,7,4,7,35
8,9,0,10,42
6,2,6,10,34
3,8,1,10,3
0,4,0,7,30
10,1,6,3,28
2,0,5,7,31
4,6,8,2,12
8,5,1,5,1
0,0,7,2,13
5,10,0,0,25
1,3,6,1,16
0,1,6,1,23
2,8,10,7,37
2,1,1,7,28
5,7,0,8,7
4,7,2,5,4
5,8,10,6,42
8,3,1,10,13
2,6,8,10,21
0,5,8,6,43
1,8,4,3,33
9,7,4,8,5
8,0,1,7,5
7,2,3,5,17
6,3,1,3,5
8,0,4,4,20
7,10,0,4,40
1,3,7,0,23
0,1,8,5,16
3,9,5,9,18
6,9,2,7,5
0,10,4,8,18
9,3,9,4,14
5,5,6,7,1
0,9,2,4,43
5,2,10,9,37
4,9,7,7,8
3,8,1,0,3
8,0,2,4,1
2,3,4,7,21
2,10,2,7,40
10,0,1,3,43
10,10,7,8,40
0,1,2,10,39
8,9,7,5,40
10,2,2,4,5
8,9,0,8,40
8,1,7,5,3
4,9,1,10,33
0,6,4,4,5
10,7,9,6,37
4,5,8,9,29
3,3,7,3,48
2,6,2,4,18
4,8,7,5,45
7,0,3,7,11
8,4,3,4,0
1,1,4,0,21
7,10,8,9,30
3,9,2,0,25
10,10,10,5,17
1,8,5,2,34
7,8,7,7,11
6,9,1,0,43
8,9,7,9,10
7,4,10,10,45
7,10,6,2,17
10,2,6,5,32
2,7,0,1,11
1,5,1,10,50
6,7,2,8,34
9,1,3,5,13
8,4,10,8,1
