55,11,50
72,991,904,734,515,901,153,7,318,266,903
13,2,18,12,8,8,14,5,14,17,12,7
17,9,5,18,1,1,2,5,12,5,7,35
4,15,17,18,10,2,13,3,6,2,15,4
8,8,6,15,11,15,6,14,16,15,11,36
5,14,10,9,9,14,7,12,2,9,18,36
14,11,7,9,1,11,3,4,14,9,10,34
3,4,13,17,6,10,8,8,2,18,11,17
16,11,5,9,12,16,9,4,18,8,16,18
16,7,11,11,4,5,7,1,1,16,7,46
2,14,8,18,7,16,8,17,14,17,17,34
3,16,13,13,3,6,3,6,18,12,7,30
7,6,0,18,10,7,13,5,10,4,6,46
18,0,4,0,0,6,0,1,3,7,5,48
3,2,10,13,11,2,9,12,11,6,3,39
15,1,7,18,16,16,10,0,15,17,5,14
0,4,7,2,0,5,9,11,1,5,3,21
5,16,7,3,14,12,12,12,11,12,18,12
14,6,18,14,8,0,13,9,18,7,14,50
3,16,8,14,9,8,8,14,2,7,8,17
6,7,4,14,2,5,16,2,6,12,1,9
5,3,13,11,11,6,14,16,0,16,17,41
7,13,9,16,14,4,6,15,9,8,14,7
8,11,1,4,7,9,5,8,9,16,6,4
8,7,18,7,9,2,8,6,7,2,5,26
7,6,2,4,0,3,6,1,15,3,15,15
9,7,9,2,8,15,17,7,12,4,5,48
15,14,0,15,12,6,9,6,9,2,6,28
11,17,7,1,16,10,16,12,18,18,18,16
15,15,9,18,11,13,18,16,5,0,16,18
18,0,7,6,0,1,8,7,2,10,8,42
18,15,12,18,14,0,0,12,16,9,13,30
17,6,18,18,13,2,8,10,2,2,4,21
5,7,2,13,2,0,1,14,3,0,11,4
17,10,5,2,10,13,5,8,1,5,11,21
14,0,14,7,3,11,18,8,6,15,12,8
16,17,4,2,5,1,1,10,0,18,6,30
11,11,12,2,3,6,11,8,13,18,15,22
0,12,12,9,12,13,9,12,13,1,12,48
4,17,5,6,8,17,4,17,17,7,0,19
16,5,4,4,14,0,12,3,8,12,16,21
12,10,14,0,15,13,2,3,17,10,17,14
17,7,12,13,6,9,4,11,4,4,5,38
3,16,8,4,10,12,18,3,5,14,11,45
15,6,6,14,12,3,0,2,13,11,1,41
14,14,7,1,15,11,18,10,8,15,1,33
16,13,18,17,4,3,6,13,14,12,0,6
4,8,15,15,2,10,6,15,3,4,1,42
3,7,2,17,15,3,7,3,12,14,15,17
8,0,3,13,7,6,12,1,13,2,14,44
1,8,8,0,13,0,15,0,4,13,11,42
4,18,2,1,3,9,11,17,18,3,6,37
16,18,12,3,18,15,16,18,6,17,12,39
1,16,11,14,7,10,7,11,4,5,17,17
8,5,11,15,14,18,13,3,14,14,0,50
6,4,14,6,15,8,0,15,10,2,330,27
