35,4,50
328,48,637,321
17,20,23,13,27
23,15,11,18,13
18,3,22,27,45
1,24,18,2,25
5,25,9,2,24
0,15,27,22,17
0,16,21,9,44
5,11,24,1,23
24,24,19,2,2
22,17,17,26,18
7,14,20,2,15
17,15,12,28,1
16,19,2,6,22
25,5,27,28,12
2,28,26,17,8
3,12,14,24,44
2,18,25,8,39
3,27,0,2,29
27,22,2,6,20
15,14,19,3,46
20,1,7,23,39
12,26,27,25,47
27,7,15,19,13
17,9,24,13,20
20,15,4,20,37
14,25,1,12,26
27,8,20,22,26
28,2,21,9,11
26,16,28,11,43
28,23,21,23,21
0,22,10,26,6
2,2,7,1,35
14,12,4,16,34
6,25,22,24,29
4,12,18,22,35
