50,3,50
822,363,854
12,19,13,17
0,0,16,12
18,11,7,24
19,2,15,50
18,20,17,13
18,15,13,11
17,16,11,12
19,4,10,48
14,10,13,34
17,1,18,3
5,8,15,48
18,14,13,26
17,18,20,7
2,14,8,25
20,12,11,26
1,14,9,33
9,18,4,17
18,7,15,45
11,17,0,41
7,12,9,14
4,2,17,33
18,12,16,44
10,18,14,8
3,8,10,40
12,18,2,39
13,7,17,39
7,18,15,21
10,19,8,9
0,18,19,32
7,14,8,16
20,18,7,28
13,17,19,28
12,3,20,32
9,2,6,32
6,14,8,12
9,20,2,7
20,18,7,30
2,1,15,14
10,2,1,18
11,20,19,0
10,17,11,16
15,19,8,20
13,2,11,29
19,18,17,49
0,3,2,38
14,3,14,8
19,20,6,46
13,9,14,11
15,15,1,20
5,15,307,21
