45,5,50
265,987,6,208,605
16,22,4,6,19,43
0,7,21,12,6,38
3,7,13,2,20,12
14,7,21,6,17,31
14,18,11,7,11,4
10,5,7,16,0,13
2,2,21,20,20,39
22,4,1,7,18,24
8,9,6,7,20,9
12,12,6,22,21,10
5,16,9,3,20,7
15,10,4,16,11,14
9,13,17,14,15,18
4,10,8,10,4,39
15,9,20,22,22,31
1,2,14,15,19,0
3,14,17,9,4,46
5,11,17,17,20,37
3,3,16,18,0,10
16,15,18,10,10,27
0,1,20,20,12,48
0,12,16,14,22,24
22,4,15,17,12,4
0,12,6,14,11,6
13,14,0,16,12,30
15,5,13,18,7,41
13,12,5,15,13,23
12,9,11,7,12,26
14,1,21,1,8,22
17,9,22,19,3,0
18,5,19,0,3,32
16,2,5,14,22,28
7,4,22,20,2,12
7,9,9,6,9,13
2,19,2,9,8,48
14,14,13,11,21,45
18,8,18,14,20,8
1,12,16,2,7,46
8,5,3,17,7,27
20,6,15,8,0,34
5,5,7,15,9,24
2,17,20,12,8,20
13,13,3,10,12,17
10,15,11,1,17,23
22,14,15,4,5,23
