85,3,50
571,490,643
10,8,10,8
11,11,8,23
7,9,4,44
11,4,3,14
7,6,3,20
7,11,2,17
11,11,4,48
2,10,6,47
4,4,1,31
11,6,8,2
7,10,9,43
0,6,6,3
4,0,3,36
0,1,6,44
0,11,7,18
11,7,9,28
7,11,5,33
0,4,10,12
2,0,8,2
2,1,1,47
2,9,9,20
7,1,0,46
11,8,9,2
10,10,9,38
10,8,10,6
11,6,6,18
8,1,7,44
10,10,0,1
4,0,3,3
4,10,8,30
1,1,11,42
2,2,1,39
2,11,4,41
8,10,8,19
0,0,5,8
10,4,2,7
7,6,11,8
7,9,6,35
2,10,11,50
9,4,5,24
10,1,0,44
2,2,0,20
3,2,6,29
6,7,5,39
7,2,8,28
2,4,7,32
8,8,6,33
3,7,1,20
11,1,8,45
2,2,2,33
0,5,9,10
6,0,8,24
11,4,6,0
4,10,1,25
10,6,8,17
10,11,5,34
4,4,5,13
11,1,11,0
8,4,4,28
4,9,0,0
11,9,0,6
3,11,9,49
6,5,6,26
11,8,9,7
10,0,0,44
2,3,5,0
2,4,2,49
7,4,11,36
1,0,4,23
8,0,0,20
5,11,6,49
8,7,1,35
4,3,3,20
10,8,5,41
7,0,3,37
9,5,2,5
10,5,5,47
10,8,4,38
2,6,2,45
9,3,9,48
11,1,0,23
0,1,8,37
2,0,3,23
6,11,1,44
5,4,290,17
