80,3,50
356,613,926
12,8,8,19
8,8,10,19
4,10,3,13
12,8,6,16
3,0,0,37
11,6,1,31
3,0,10,11
12,9,9,49
6,3,2,16
5,0,11,7
9,3,2,36
3,9,11,5
5,3,1,1
0,5,5,37
10,9,4,48
5,9,1,4
2,4,5,5
8,1,10,14
12,10,7,46
3,10,6,44
1,7,12,49
0,7,7,13
7,8,2,33
0,12,11,42
2,9,8,2
3,11,0,46
3,2,6,7
3,1,1,2
12,5,11,27
12,8,5,5
5,1,7,3
1,12,7,7
6,3,4,12
2,2,2,34
7,1,5,3
4,12,7,30
8,12,10,22
2,4,11,34
12,6,12,34
11,1,4,0
12,2,9,29
7,11,2,37
9,6,7,0
2,12,5,0
8,3,11,34
0,4,7,18
6,9,12,10
10,6,12,46
2,9,10,32
10,5,5,38
9,0,10,6
5,9,3,38
6,3,5,0
12,11,5,30
3,5,5,36
10,6,6,17
6,6,6,42
11,8,4,21
5,11,9,14
10,6,10,17
7,6,12,22
6,8,2,18
10,4,1,21
5,10,11,42
4,6,10,41
10,5,5,49
0,7,10,34
8,0,4,41
6,0,12,41
9,2,4,30
10,5,0,46
0,3,1,45
9,12,11,26
11,9,0,30
1,8,5,9
10,4,10,9
6,8,0,6
1,11,0,13
6,5,4,24
4,7,415,28
