60,13,50
797,959,296,143,820,618,878,175,641,547,14,702,368
4,15,11,13,11,15,0,15,5,2,14,7,4,21
8,4,12,12,11,16,10,2,4,4,14,5,16,41
8,3,13,16,2,13,16,15,6,0,3,10,12,22
8,3,16,13,4,13,9,6,16,7,7,13,0,23
13,10,6,6,5,4,15,5,9,16,6,9,7,12
12,0,16,0,0,11,0,7,16,8,9,10,16,35
14,4,3,8,5,14,2,2,1,2,7,7,10,2
15,16,1,7,8,0,13,8,0,3,5,6,8,31
11,5,5,13,14,14,13,5,16,5,12,5,15,6
8,9,3,8,10,0,11,14,6,12,9,7,12,20
9,6,13,8,6,11,3,13,2,15,10,16,12,46
4,1,5,5,14,5,12,10,1,1,10,12,13,27
4,13,6,4,5,8,7,12,15,10,5,4,0,21
12,14,15,9,7,5,12,14,13,13,7,13,15,3
12,14,13,2,1,13,4,16,2,5,15,3,1,29
11,2,1,1,0,14,4,1,6,9,10,3,1,38
16,6,14,4,5,16,5,8,8,11,1,11,1,23
13,1,8,1,14,12,8,4,1,3,9,7,4,8
3,10,2,13,0,3,3,4,7,6,8,10,15,28
6,10,6,1,5,3,12,2,5,16,11,9,0,12
7,3,8,16,4,8,7,2,11,11,0,4,5,50
7,16,10,3,16,14,9,10,2,16,15,4,1,30
10,3,8,2,14,9,3,4,7,1,14,7,5,11
7,12,13,16,13,14,15,3,7,0,10,11,16,3
5,10,1,6,0,15,11,7,6,16,0,5,5,41
8,16,15,15,1,3,15,11,4,2,9,1,10,29
15,12,2,10,6,15,5,6,13,6,14,9,15,11
10,3,5,11,13,8,3,14,10,8,15,0,10,2
9,7,5,13,15,6,16,7,14,4,8,14,0,39
11,1,2,16,10,10,15,2,16,7,7,2,13,47
3,3,12,6,15,8,15,2,3,0,14,1,7,6
8,11,7,15,10,13,15,11,15,11,7,7,3,9
13,13,13,5,6,16,6,1,11,5,3,14,0,48
2,11,3,3,4,14,7,13,9,7,6,10,3,3
11,3,9,14,5,4,1,5,10,16,0,11,10,11
14,0,0,7,7,1,5,7,4,0,1,2,13,36
10,15,6,11,13,3,15,3,9,1,13,9,14,20
1,10,2,9,2,15,2,9,3,3,1,6,16,47
1,2,6,8,10,8,14,11,6,1,9,4,6,22
11,5,2,1,0,13,6,2,13,4,5,1,9,39
16,11,8,10,15,14,15,9,12,14,9,13,15,20
3,8,3,14,5,7,13,16,7,8,15,0,3,1
7,6,0,16,4,5,6,14,11,5,4,3,15,37
8,5,6,6,15,0,11,2,9,15,12,0,6,7
16,14,4,3,5,15,5,8,2,8,7,8,1,40
12,6,15,3,12,11,11,0,8,7,1,11,3,30
0,6,0,4,15,8,16,8,10,8,10,0,6,6
11,5,9,2,14,0,15,1,4,4,1,3,0,44
8,6,16,16,15,0,8,0,10,12,12,14,16,45
12,11,15,6,16,7,13,10,7,14,8,8,14,9
12,0,8,16,15,10,16,8,7,0,10,16,16,38
10,12,16,16,16,5,4,2,16,13,8,2,11,40
12,13,0,5,15,1,16,8,6,5,7,16,10,25
1,16,3,10,2,0,15,0,10,6,15,2,12,24
10,12,14,15,0,8,12,4,0,16,0,12,11,23
0,13,4,13,3,9,8,13,8,15,7,8,2,38
1,10,16,11,5,16,14,7,5,4,8,1,2,42
16,1,2,0,11,12,13,9,16,15,14,9,14,4
2,6,7,10,11,13,3,0,5,5,9,13,6,1
6,3,2,7,15,3,8,12,9,16,16,12,641,36
