45,5,50
528,698,211,58,998
20,8,10,14,21,45
17,2,10,21,18,45
14,6,6,9,18,43
17,3,18,20,13,3
6,7,6,14,11,31
1,20,20,21,20,22
17,14,19,9,22,39
12,21,15,19,21,18
19,3,5,12,5,11
10,10,10,17,8,32
10,2,21,15,2,37
2,1,19,1,19,27
20,21,1,12,12,37
10,19,5,5,7,44
8,7,1,5,6,15
6,0,16,8,8,49
19,3,12,17,22,24
11,21,0,11,6,19
13,2,19,21,0,38
6,15,17,19,17,3
14,1,21,11,2,27
0,8,22,10,11,14
4,20,6,20,15,44
14,12,14,21,2,8
19,5,21,15,9,14
9,10,18,6,16,25
10,6,19,18,15,47
15,1,9,14,11,0
5,20,14,21,13,46
2,4,20,5,6,0
16,9,3,18,21,4
19,15,12,17,22,7
9,1,12,3,13,5
10,19,17,16,20,38
11,21,17,17,9,49
17,7,7,2,7,29
11,4,10,2,11,32
15,22,6,9,22,29
5,6,22,16,21,15
2,11,3,10,9,15
18,15,15,16,17,13
10,20,6,22,1,16
11,16,5,7,6,50
17,8,3,7,4,2
3,7,4,1,0,49
