75,3,50
786,572,656
13,7,5,14
0,1,5,42
3,13,9,31
3,1,9,8
3,11,2,19
6,8,2,42
13,7,4,21
12,11,13,45
12,2,1,7
11,4,6,4
0,1,7,31
2,7,5,15
9,9,7,7
13,3,0,11
6,5,1,33
10,13,7,18
3,13,12,41
7,12,3,19
7,5,5,49
3,13,11,6
4,9,12,1
3,10,10,12
4,13,6,47
2,9,7,12
12,5,6,32
5,8,10,35
1,8,7,44
5,5,5,0
12,4,7,3
0,11,2,10
0,8,11,14
5,2,5,20
8,8,0,17
6,2,12,4
11,6,5,39
9,4,5,39
9,6,10,33
12,0,9,22
12,0,4,32
5,10,7,14
12,7,10,22
0,6,9,37
8,6,7,24
12,0,8,48
0,2,12,22
10,3,6,20
7,13,1,34
0,2,12,19
9,0,10,14
11,4,5,43
2,8,3,4
8,0,4,4
12,12,10,24
5,0,6,30
10,5,6,22
7,7,4,40
7,4,1,27
4,8,13,37
9,13,7,28
11,5,9,42
2,3,12,4
10,3,6,5
5,8,6,15
13,11,1,36
2,4,11,12
6,9,9,13
1,6,6,35
12,13,4,43
12,9,4,22
10,6,7,30
0,12,0,48
12,4,12,45
4,1,12,12
9,5,8,45
0,10,533,4
