60,4,50
555,638,308,800
16,10,12,7,6
14,4,8,2,22
9,15,12,8,20
10,10,11,13,29
13,10,7,9,25
5,7,12,10,37
9,11,14,6,32
4,15,5,2,38
13,3,2,1,24
4,12,1,15,17
15,10,1,10,45
3,7,12,15,49
9,1,7,1,22
6,13,11,8,6
5,2,0,3,29
16,8,7,1,31
12,11,13,4,8
9,16,6,11,42
8,14,8,8,41
16,12,3,8,8
7,0,13,7,8
13,3,12,13,2
14,8,13,11,18
16,4,12,3,29
12,4,9,6,45
5,4,0,12,22
4,15,7,9,6
16,4,16,7,11
9,16,11,1,0
2,3,0,6,4
2,8,0,16,48
14,10,15,7,47
5,13,13,7,44
5,7,9,5,2
1,1,11,16,12
8,2,8,8,1
4,3,13,10,43
3,16,9,14,1
7,3,9,13,4
13,16,4,10,32
2,7,6,10,43
5,3,12,5,26
1,8,11,12,33
7,9,1,13,36
5,0,8,2,27
1,3,8,4,2
12,15,16,7,40
2,11,11,1,48
15,5,3,0,19
0,12,14,2,21
10,4,7,1,34
8,6,7,8,7
12,8,11,0,33
15,10,12,11,5
12,0,9,10,17
2,16,16,16,21
5,0,15,2,47
0,9,4,8,17
8,14,4,14,14
14,11,8,359,42
