100,6,50
809,283,661,788,286,400
2,9,5,9,2,6,11
0,2,8,0,4,8,28
9,10,7,0,1,2,23
10,7,10,0,3,5,39
1,9,2,7,1,4,32
3,2,2,10,9,6,48
0,0,5,7,9,7,3
3,7,6,4,0,9,0
1,7,0,7,2,2,14
4,6,1,10,3,5,41
7,8,0,5,0,3,48
8,0,10,0,1,2,50
4,7,4,10,1,6,32
9,1,6,6,7,10,49
8,10,0,10,3,9,30
10,2,3,2,4,1,34
6,9,5,9,9,10,0
10,4,9,3,2,2,41
9,9,9,6,8,2,44
3,10,4,9,6,9,43
0,0,4,1,4,8,26
9,0,6,10,7,9,47
6,3,10,2,5,3,33
4,6,5,2,1,4,35
1,8,5,4,1,4,31
3,5,1,3,0,8,34
5,9,10,9,1,9,2
5,3,10,2,9,10,9
9,1,10,8,10,2,47
2,9,10,5,9,9,47
6,8,1,0,3,6,3
7,8,1,0,2,1,35
3,4,10,3,9,3,48
1,1,9,1,0,4,35
4,3,7,10,9,10,37
4,0,1,2,8,7,37
9,9,1,3,3,1,2
3,1,6,2,4,6,35
3,0,2,2,0,6,23
8,10,7,4,8,8,15
6,3,10,4,8,6,7
4,1,9,5,7,6,9
3,5,0,6,8,6,0
6,2,9,3,7,2,27
0,9,6,3,6,9,0
7,9,2,7,2,1,49
1,10,0,4,7,2,33
8,3,8,5,9,7,33
3,8,7,8,1,2,14
5,8,6,6,5,3,39
7,3,5,4,8,0,17
4,2,1,4,4,7,12
4,2,6,3,5,9,28
1,0,8,10,6,5,14
5,7,5,0,3,7,27
6,7,5,4,3,9,10
6,9,0,9,5,8,33
9,8,3,1,9,10,14
1,9,4,2,3,6,24
6,6,3,10,9,1,7
9,3,9,3,7,4,11
1,8,9,1,6,0,48
8,8,2,8,3,6,19
1,6,7,5,10,3,22
3,8,7,0,6,1,27
10,7,7,9,9,4,14
2,1,2,5,1,1,5
4,2,8,1,2,7,13
4,7,7,10,2,7,50
5,1,2,1,7,6,49
7,2,5,6,2,3,46
9,7,3,7,1,1,34
8,10,6,0,4,4,5
4,2,4,8,9,4,48
9,3,6,7,9,5,43
2,5,0,1,8,1,18
3,3,10,0,7,5,27
3,6,5,5,2,10,11
7,1,10,6,1,7,44
9,7,7,1,7,5,46
4,6,2,4,9,2,42
5,9,8,4,3,9,16
4,8,6,3,0,8,11
3,1,10,4,8,4,31
7,8,6,1,6,2,37
10,6,4,3,1,9,22
10,4,2,6,7,10,26
2,9,5,0,8,7,46
0,10,9,0,7,2,26
5,1,0,9,10,7,16
3,1,4,8,10,0,5
2,3,8,7,7,10,22
9,1,3,1,7,1,16
3,0,1,5,7,0,49
3,5,10,7,6,7,48
1,1,3,0,0,8,1
0,4,4,7,2,4,19
2,9,7,9,9,7,28
6,6,4,5,9,4,16
0,6,9,5,4,226,6
