85,3,50
181,30,114
8,3,5,44
1,5,9,45
8,11,9,13
3,11,10,31
5,10,6,16
10,11,7,42
5,1,6,43
9,11,6,33
1,2,1,34
7,3,1,28
0,10,7,42
10,10,0,29
2,6,1,27
2,7,9,41
9,11,9,48
6,6,7,6
7,6,9,11
0,8,8,24
3,8,8,49
4,2,11,32
11,11,2,21
9,2,3,3
1,0,11,0
0,4,9,19
7,3,4,31
7,6,6,16
8,10,5,42
7,5,6,17
2,9,0,42
10,10,10,8
7,11,5,34
9,2,4,3
7,8,4,23
11,7,6,50
9,2,2,29
1,8,2,49
6,8,0,31
9,8,9,47
0,2,2,8
11,0,3,32
4,11,9,44
2,0,8,10
5,4,6,47
8,6,3,32
11,4,1,33
1,8,9,22
1,3,3,7
1,5,11,42
11,10,0,24
3,0,5,47
4,2,6,28
11,9,8,9
5,9,8,18
4,10,5,27
0,7,0,42
10,3,7,4
6,6,9,23
6,6,1,20
2,6,1,10
5,11,5,9
8,6,5,30
9,5,3,17
3,6,0,48
8,0,4,8
3,10,11,48
3,9,3,5
11,2,4,4
8,5,11,2
4,4,7,17
4,7,3,36
5,11,3,12
6,5,1,29
0,8,3,32
6,11,4,15
7,8,3,22
3,11,6,46
1,7,2,26
6,10,2,42
5,8,3,48
0,6,7,29
11,6,0,12
3,2,7,26
7,0,8,2
2,5,5,9
7,7,7,3
