85,4,50
447,125,988,189
8,8,7,5,45
2,6,2,7,48
11,7,10,1,6
9,10,8,9,31
4,5,11,3,16
0,10,3,8,34
6,9,3,5,1
7,3,8,1,14
4,10,2,2,40
8,8,6,9,8
0,4,7,3,32
0,2,4,10,4
3,3,9,9,28
2,8,3,10,12
4,7,2,11,0
5,2,7,2,1
8,9,10,3,7
7,2,7,10,27
11,6,0,11,1
9,3,9,4,1
5,10,10,10,44
11,5,6,4,21
2,8,7,1,40
4,8,5,0,32
4,6,4,4,15
6,2,6,5,20
6,2,6,1,14
4,5,5,9,18
9,11,7,2,27
9,4,9,6,31
10,4,8,6,43
5,4,8,5,8
7,11,6,5,10
10,7,7,8,43
5,6,8,8,48
11,9,10,1,2
5,4,3,6,37
5,10,1,6,33
5,2,4,11,30
5,9,4,3,46
6,5,2,5,36
1,9,0,7,43
0,7,8,2,11
2,2,11,4,43
11,4,7,10,1
7,10,7,8,47
10,1,6,3,32
3,4,1,2,21
1,1,1,4,41
6,7,3,3,33
10,2,7,5,38
11,11,8,6,22
0,9,0,10,35
11,0,4,8,42
1,11,7,3,8
2,10,3,6,26
6,1,8,0,19
2,9,3,8,24
11,0,8,0,50
2,6,6,9,42
3,9,0,1,36
6,3,1,0,28
4,5,8,7,3
4,3,11,7,41
9,4,7,5,31
1,6,0,11,36
7,10,5,0,23
2,11,5,11,12
10,6,1,5,41
11,2,3,11,8
9,5,5,3,41
6,4,3,2,27
2,8,9,8,23
11,3,4,4,4
9,10,2,0,20
7,11,5,2,49
2,10,1,9,24
6,10,9,11,23
6,2,11,3,31
5,9,5,3,29
2,2,6,0,26
11,6,11,10,21
1,4,8,5,3
6,2,6,9,23
2,4,9,10,8
