20,8,50
25,321,540,94,762,109,50,940
41,4,3,17,31,2,35,3,11
28,15,48,29,42,50,33,12,35
20,22,24,40,3,18,9,40,23
27,50,27,19,46,23,13,8,28
2,7,16,20,13,32,49,31,32
41,7,5,42,18,9,49,6,26
39,17,3,32,18,41,40,17,16
32,50,6,8,23,35,23,36,39
28,36,35,40,10,6,44,42,40
40,33,16,3,43,37,26,31,27
5,33,49,11,39,23,22,40,32
41,42,15,28,40,6,8,24,38
5,7,6,46,34,1,4,4,10
47,44,36,49,28,2,12,4,0
19,28,16,34,19,25,29,49,29
2,33,34,49,49,46,13,20,26
29,29,2,43,50,6,2,22,4
48,12,9,4,39,1,13,17,16
35,13,17,42,35,43,18,32,48
32,38,19,30,13,37,38,12,0
