50,6,50
366,672,614,591,500,211
17,9,13,16,0,10,0
6,16,18,12,3,12,34
14,5,6,18,12,6,10
8,7,18,15,20,17,36
5,18,6,9,14,20,8
1,1,16,11,17,0,36
16,2,10,6,20,11,1
7,0,2,10,4,14,19
9,0,18,8,4,19,9
17,8,2,9,16,18,37
12,10,16,12,0,1,17
18,3,4,4,18,20,40
13,15,8,14,10,14,0
13,16,1,11,5,7,16
17,9,2,13,11,2,50
6,17,12,14,10,5,17
2,8,7,1,7,18,12
6,12,0,12,8,15,45
8,19,8,1,4,3,14
2,13,8,1,9,12,31
15,3,7,2,10,2,47
14,18,9,20,6,0,35
18,16,13,15,2,9,32
7,13,0,10,8,17,0
2,17,4,20,14,11,41
4,8,8,4,7,7,31
10,5,1,6,0,7,5
18,19,10,14,12,18,4
16,8,10,2,7,2,15
7,20,17,12,15,18,44
0,10,1,7,5,13,44
9,14,11,18,4,2,24
14,11,15,12,3,0,37
17,6,1,7,12,16,39
2,5,6,12,5,19,16
7,10,17,15,9,10,29
6,19,7,18,7,19,43
19,5,20,8,6,10,39
18,0,9,5,3,10,18
13,7,16,12,12,19,36
8,15,18,8,3,13,47
18,19,12,6,11,2,38
18,7,1,6,6,12,25
9,20,13,19,12,1,41
17,15,8,5,3,17,42
18,19,2,19,5,14,44
14,7,11,7,15,18,24
3,5,13,1,1,9,45
14,15,6,1,10,9,21
8,11,12,6,14,4,41
