65,3,50
385,935,137
8,3,12,45
10,14,15,10
10,5,0,32
14,9,15,8
0,13,4,30
2,11,1,16
2,8,5,28
14,9,3,0
9,6,2,4
15,13,6,22
5,10,15,34
4,5,0,31
8,13,2,5
4,4,10,31
8,11,9,16
6,0,3,27
1,4,3,47
7,2,12,48
1,13,2,29
8,9,11,0
10,13,0,11
13,7,8,47
4,0,7,29
0,1,2,40
8,7,7,47
11,4,11,34
5,6,3,40
1,11,7,24
15,5,4,47
6,10,2,39
11,15,5,22
3,7,7,38
5,6,6,26
3,11,9,8
10,13,9,35
8,5,14,15
14,13,8,31
7,7,15,14
8,1,13,26
7,7,10,27
1,10,8,3
6,0,0,5
8,11,12,50
5,14,7,48
0,14,2,27
7,5,9,37
0,13,5,9
6,11,3,19
3,9,5,13
13,9,7,19
6,7,4,42
15,15,10,22
13,14,12,45
15,13,7,28
14,11,7,40
5,10,10,9
4,14,5,12
0,1,6,23
13,10,10,37
14,14,0,26
12,8,13,10
6,6,1,39
8,4,10,3
15,13,7,49
11,14,0,50
