45,4,50
941,171,101,125
9,14,21,14,44
21,13,20,21,46
22,22,3,11,26
3,2,18,19,34
16,10,2,10,12
17,21,12,16,41
18,2,20,13,28
9,1,11,13,28
7,2,12,8,24
16,2,15,20,21
5,1,11,21,11
19,7,3,3,36
0,8,18,16,6
21,12,5,3,6
21,11,4,1,9
4,10,16,22,29
21,17,12,0,38
20,16,5,13,6
10,1,16,15,20
18,21,17,9,8
7,19,22,19,2
22,1,9,15,6
8,15,18,19,2
9,22,14,15,2
14,1,3,3,41
18,11,15,21,40
17,17,18,15,23
12,13,13,17,15
18,19,4,22,38
16,18,5,3,34
17,1,1,20,35
3,19,8,8,22
9,19,11,16,31
7,19,20,3,39
0,9,21,10,13
10,7,11,7,28
18,15,7,3,31
18,1,3,21,12
9,19,22,1,37
15,21,9,17,17
14,8,21,9,8
2,18,21,22,5
14,13,6,13,3
7,16,1,7,36
10,22,7,17,34
