100,3,50
922,797,67
5,7,4,29
2,4,4,32
7,1,0,3
6,4,9,6
9,5,5,7
10,0,8,17
5,8,9,10
7,2,1,20
8,10,7,23
8,8,8,14
4,2,6,11
6,9,2,4
8,9,8,5
5,10,9,47
2,5,5,48
0,2,6,11
3,10,0,14
9,6,0,13
7,9,3,11
1,1,10,36
9,5,0,9
0,1,6,31
3,0,0,16
8,2,3,9
4,3,3,17
0,5,1,45
0,9,9,9
1,3,9,15
6,7,9,43
8,8,8,22
7,1,8,40
6,0,5,30
7,2,9,38
6,1,10,20
4,1,6,47
7,2,0,37
2,5,1,17
7,8,8,48
7,4,1,3
2,8,1,18
1,2,4,46
7,10,10,31
0,6,5,30
6,9,7,18
0,1,6,8
5,3,4,7
1,6,3,9
1,3,1,14
0,6,5,21
1,4,1,15
6,0,9,4
8,9,7,1
8,6,6,2
0,2,5,32
10,10,3,21
0,3,10,14
8,7,0,35
2,0,10,16
1,2,10,1
5,4,3,8
3,10,8,28
7,6,0,50
9,2,2,13
7,7,7,37
9,6,10,18
1,3,9,0
0,1,4,17
5,0,0,33
4,1,10,0
10,1,9,15
0,10,3,3
5,3,10,28
1,10,4,20
8,5,5,10
6,2,5,37
7,6,4,46
5,4,9,20
9,9,2,35
2,6,9,18
2,8,0,10
8,6,0,25
3,10,4,14
3,4,10,6
4,7,8,19
10,3,2,6
6,6,2,13
4,4,2,0
7,10,6,4
1,10,5,4
0,3,4,31
2,3,4,38
4,3,9,0
10,0,4,13
10,2,1,35
6,10,1,4
4,4,4,34
2,9,9,21
0,5,2,32
2,7,10,30
6,10,315,14
