75,4,50
855,82,341,608
13,10,3,6,46
3,4,2,4,25
2,12,8,11,0
0,9,7,3,13
6,2,7,0,17
2,0,11,3,8
5,11,12,9,48
12,13,0,8,14
12,10,9,12,12
8,2,6,4,43
3,0,2,9,36
8,12,3,8,13
6,13,5,1,29
6,7,5,9,33
5,11,0,10,0
0,2,12,4,17
1,6,12,8,36
9,4,8,3,31
5,6,8,2,10
12,5,13,2,11
6,3,4,0,17
11,0,8,10,33
0,3,12,5,48
3,5,0,7,48
7,13,6,3,5
7,3,10,1,36
8,6,7,10,5
9,13,0,0,20
9,10,10,7,33
6,10,8,4,22
5,3,10,1,23
10,13,6,13,12
5,10,6,7,21
6,0,13,13,10
7,7,5,8,3
10,8,3,9,20
13,0,8,13,21
9,1,10,10,46
13,10,8,10,29
4,12,4,11,50
1,6,10,9,38
10,5,8,6,47
3,1,8,10,30
9,7,1,9,6
8,3,0,6,31
11,10,3,11,31
0,9,11,8,8
13,10,5,0,5
2,0,3,10,35
1,12,2,13,30
4,2,1,0,33
8,13,6,7,36
0,9,6,0,48
1,11,8,2,20
2,1,0,12,25
11,4,7,1,38
6,0,7,4,42
0,8,0,1,30
9,11,3,2,8
13,1,12,10,29
12,5,4,2,2
2,13,13,13,0
10,0,10,5,12
7,1,10,11,29
9,9,10,11,35
3,8,12,0,41
10,2,0,10,29
2,9,6,3,45
0,5,7,10,45
1,4,8,2,38
6,5,7,5,8
8,2,10,2,15
11,4,8,10,23
11,0,13,12,23
9,11,13,12,4
