90,3,50
545,807,804
6,8,6,43
4,5,8,49
4,0,7,47
8,11,9,46
5,8,11,23
11,8,4,9
10,3,8,22
11,2,8,45
1,6,1,45
2,6,7,8
11,2,9,46
3,0,5,38
10,3,9,43
5,3,8,3
0,9,5,46
4,3,10,2
6,5,0,49
8,5,10,14
2,4,3,16
7,10,0,25
9,1,10,6
11,5,7,41
10,10,3,13
6,4,10,42
1,6,8,17
4,7,8,3
1,2,10,39
8,1,11,4
2,4,5,22
7,1,7,9
4,2,5,14
0,11,7,49
6,1,0,27
3,4,6,40
8,4,1,10
3,1,8,0
1,9,10,10
11,8,1,46
9,11,11,50
8,6,10,31
5,6,6,44
1,11,0,36
10,5,9,38
10,2,7,10
7,3,7,30
10,2,4,41
0,8,2,9
5,6,7,3
11,5,2,19
11,6,9,7
6,3,5,18
10,7,3,34
6,4,1,1
4,11,10,9
2,4,10,24
3,3,1,26
6,5,9,21
11,11,10,19
9,8,2,12
8,5,1,20
11,10,11,13
1,3,7,43
0,4,6,34
6,8,4,38
3,4,3,1
10,3,2,39
8,9,3,44
2,0,0,21
7,11,7,36
9,9,4,7
10,4,3,20
6,11,2,27
3,4,7,30
5,6,10,7
3,2,5,24
6,0,5,14
8,1,5,8
0,3,1,20
0,8,4,49
7,2,4,9
8,10,6,13
3,4,5,43
2,10,0,3
10,5,0,50
4,4,10,30
6,7,1,25
6,7,6,29
9,2,5,24
0,2,3,44
7,4,660,40
