85,5,50
257,544,814,323,85
2,4,9,7,3,45
0,11,10,4,9,4
3,8,1,5,7,14
11,7,11,3,3,0
7,9,4,11,4,14
7,7,6,4,3,27
10,7,7,11,11,33
6,1,11,1,9,18
5,0,6,6,0,15
8,6,3,11,11,25
11,2,1,9,4,28
1,7,4,2,3,38
8,0,4,1,8,3
8,6,5,9,5,1
8,0,6,4,6,26
3,10,11,6,11,39
4,4,7,11,0,30
9,9,4,0,1,40
1,4,2,0,2,11
5,9,7,7,5,15
10,11,7,5,4,40
0,6,9,8,10,36
7,3,4,1,4,5
0,6,7,9,0,43
6,7,5,2,9,31
2,1,5,6,8,11
9,0,8,2,5,34
10,2,6,6,4,48
8,4,6,10,3,27
9,9,7,4,5,21
2,1,8,11,8,34
0,11,8,5,8,4
10,4,5,8,10,27
2,0,0,5,2,29
10,9,5,1,2,8
2,11,1,4,3,8
7,6,2,1,3,3
6,3,5,3,9,23
6,8,5,3,0,11
0,8,7,8,1,36
3,9,3,9,7,8
8,1,5,2,2,19
3,7,1,9,6,32
1,5,9,1,9,16
3,8,5,7,1,6
11,3,2,5,0,29
4,3,10,7,0,39
5,5,0,1,10,1
4,2,2,8,10,5
11,3,3,11,3,25
7,5,6,5,10,44
6,1,8,0,1,18
10,2,6,7,2,3
3,3,1,5,3,44
2,5,10,3,2,1
5,9,10,8,3,46
9,2,0,7,7,20
6,9,0,4,9,22
5,1,3,11,3,6
4,3,5,5,2,23
1,1,0,11,10,2
0,7,1,2,2,37
8,1,3,4,10,50
3,9,8,11,3,32
3,3,9,11,3,13
7,6,4,10,2,48
7,3,8,11,11,44
9,10,8,1,11,37
7,6,3,2,0,13
9,10,9,2,11,42
8,6,6,6,10,38
2,2,5,2,7,24
6,6,8,6,3,36
3,2,9,11,9,36
9,5,11,4,0,50
1,9,11,0,10,24
4,4,0,8,3,0
10,2,8,5,7,49
5,7,5,5,10,8
9,3,3,8,1,25
2,0,3,2,6,42
4,6,11,2,1,6
6,10,8,8,11,45
11,2,10,10,4,37
11,0,8,11,2,2
