95,4,50
728,398,447,671
7,7,6,2,40
3,3,5,2,18
1,2,6,7,15
9,0,8,8,26
10,7,8,8,39
1,6,3,8,23
3,10,9,2,20
8,8,7,3,49
7,6,3,5,7
6,0,3,2,16
9,7,4,1,15
5,9,7,9,1
8,3,3,2,25
8,7,7,7,0
6,2,7,6,24
5,2,10,7,50
3,7,8,8,16
2,6,7,5,35
6,5,8,7,14
9,9,8,2,23
3,5,6,0,39
7,9,0,4,10
6,1,7,7,28
4,10,1,6,18
6,9,8,3,2
0,9,0,10,11
4,10,0,3,41
5,5,7,2,17
4,5,9,3,2
3,5,6,2,33
1,0,3,3,40
8,0,7,1,1
2,3,5,9,14
3,7,3,7,29
5,5,0,4,30
2,3,3,5,4
5,8,3,7,32
0,1,6,2,47
0,8,4,6,4
4,9,10,3,14
4,1,5,3,41
7,7,8,6,14
2,9,6,5,15
4,8,4,9,18
9,8,1,6,49
3,4,0,8,0
9,3,3,0,46
8,0,0,2,45
7,1,2,7,17
9,2,8,9,41
2,7,10,5,17
10,2,7,10,28
6,8,6,5,37
5,4,8,9,46
8,1,0,4,25
9,5,2,7,44
2,0,6,2,8
5,3,0,0,0
6,4,10,1,21
1,2,4,3,19
4,8,5,2,16
9,6,10,2,33
2,3,0,2,8
4,0,9,5,42
6,8,7,1,39
6,1,7,3,22
3,0,10,7,41
2,2,0,1,19
5,6,3,2,30
8,0,8,0,7
8,2,3,3,36
10,3,8,7,16
0,9,7,7,15
5,9,5,1,21
3,3,5,8,7
3,3,3,7,9
1,6,6,1,16
2,8,7,7,34
0,4,7,9,20
9,4,0,8,38
8,5,10,7,10
3,7,8,8,17
0,3,10,3,40
6,1,2,6,33
10,3,6,3,9
10,7,6,3,48
9,10,8,3,44
6,3,10,10,23
7,4,2,1,13
2,4,2,9,3
5,1,1,10,9
9,1,6,6,34
8,8,2,5,47
3,10,6,10,12
5,0,1,359,18
