55,6,50
950,18,522,468,797,596
8,7,10,11,17,9,38
2,4,5,4,3,0,9
8,14,10,2,16,10,36
1,18,4,11,0,11,19
17,7,6,14,8,6,4
9,16,14,8,6,1,27
12,12,6,3,1,14,17
4,6,14,5,13,8,14
3,10,7,11,16,16,48
0,9,1,12,17,6,18
9,15,18,18,15,16,5
11,17,1,2,10,6,14
18,12,16,17,13,11,35
0,7,14,4,4,9,32
12,0,5,18,13,15,13
17,3,15,18,11,17,24
15,10,2,16,0,17,50
8,18,18,15,3,9,45
16,17,3,13,16,12,36
15,15,1,11,6,9,7
11,1,4,6,5,15,47
10,17,7,14,1,17,39
2,10,4,7,4,8,33
1,10,8,2,1,6,40
14,11,12,14,17,14,39
16,16,6,14,18,17,22
5,12,12,0,8,11,13
6,18,10,3,16,1,1
14,6,13,18,14,5,12
4,9,16,4,3,17,1
1,13,9,13,13,2,4
11,14,6,1,12,17,30
0,13,6,0,11,17,36
0,11,11,1,15,13,28
11,1,6,12,4,14,27
3,18,7,12,17,17,27
1,8,5,4,12,3,10
0,17,4,0,5,4,16
3,8,18,14,8,17,39
1,11,9,1,15,3,50
2,8,7,6,4,17,32
18,15,14,6,14,14,12
3,8,18,7,17,8,10
9,1,3,10,17,9,43
6,9,10,13,10,1,35
7,15,13,12,2,5,36
10,11,4,4,7,4,33
11,16,3,12,16,0,46
4,4,2,2,0,13,34
14,1,15,8,11,12,4
7,0,15,9,7,6,7
0,8,9,12,12,14,44
13,15,16,10,5,4,40
13,3,8,4,15,13,41
4,14,4,11,1,334,14
