40,5,50
673,182,90,700,474
0,23,0,17,20,39
23,7,2,8,23,38
10,3,21,17,17,28
9,13,12,1,1,25
22,3,0,23,21,29
14,22,16,23,12,30
23,20,11,8,16,24
23,20,11,12,4,1
2,23,12,16,12,22
15,18,9,3,23,37
0,21,17,3,1,46
1,14,23,2,18,20
13,7,6,12,23,0
7,24,25,14,11,5
13,19,5,18,15,40
4,12,15,16,11,32
4,7,11,14,10,26
23,12,16,23,24,1
7,6,1,19,10,32
4,6,25,21,21,50
20,7,16,5,12,26
2,1,11,22,11,46
9,17,15,2,13,18
16,23,17,1,7,42
16,20,10,5,8,11
0,8,5,0,15,50
3,2,13,1,14,47
10,24,16,3,17,26
22,0,9,4,6,25
13,16,8,11,2,8
11,4,9,15,7,17
16,24,0,19,23,49
20,24,12,16,17,42
1,19,5,7,19,19
10,8,25,23,8,45
25,21,17,5,2,26
22,17,10,12,20,18
2,13,3,8,9,25
4,3,17,10,0,36
23,0,3,13,24,40
