85,5,50
663,391,736,57,292
0,7,4,6,8,43
3,0,10,10,11,0
6,1,1,3,8,29
5,11,1,7,11,13
3,10,10,5,0,26
5,11,10,9,4,12
9,8,2,10,10,24
8,0,7,2,4,42
7,10,7,6,7,49
7,9,4,3,6,37
3,4,3,11,7,49
6,2,6,3,1,13
2,7,0,1,1,43
3,11,7,5,9,47
8,8,1,4,5,7
8,10,11,1,8,17
5,9,8,0,5,11
3,2,3,9,6,0
5,1,1,1,2,4
1,5,8,11,1,38
11,2,9,4,0,6
2,7,10,10,10,37
8,4,3,4,4,37
0,7,10,10,3,33
7,9,9,4,4,27
6,10,9,8,8,10
7,2,7,8,6,16
10,10,7,10,4,4
1,0,8,3,0,35
9,9,7,11,6,15
6,1,1,8,8,1
11,10,11,10,0,4
8,11,11,9,4,1
11,7,3,0,3,5
0,9,3,8,1,24
0,0,9,10,3,34
2,6,8,10,8,7
1,4,4,8,0,24
5,8,4,9,4,25
5,6,9,11,1,11
5,10,3,4,6,24
1,5,1,2,8,3
11,7,9,6,6,34
2,7,1,4,11,24
7,0,9,8,7,18
10,11,11,11,2,3
11,0,10,8,1,18
11,2,7,0,2,6
7,4,9,7,9,37
4,3,5,6,8,13
11,10,8,8,8,17
3,2,7,8,5,43
4,10,5,1,0,18
10,2,6,7,5,24
8,2,10,1,4,43
7,1,8,4,5,3
11,8,8,3,11,12
5,0,0,10,6,13
7,6,10,6,7,25
5,3,6,0,2,31
3,9,0,6,2,45
6,10,9,0,6,48
1,2,7,10,5,44
9,10,11,10,6,5
2,2,3,7,7,17
8,3,10,3,0,45
9,8,11,9,5,0
5,9,4,5,3,40
9,1,8,3,8,32
1,9,4,8,9,9
8,10,4,8,10,10
10,0,2,10,11,47
3,0,0,3,9,19
5,6,10,3,1,35
10,4,5,11,1,31
8,1,0,6,6,42
2,1,8,8,4,46
7,11,7,7,5,32
2,7,8,4,11,7
4,2,6,6,4,19
7,1,0,10,3,23
9,9,3,8,4,17
4,10,0,11,2,11
10,3,6,4,10,37
5,11,3,2,11,19
