40,4,50
862,666,787,263
25,20,8,16,38
16,5,19,0,48
7,21,7,11,14
20,20,14,5,30
16,10,8,17,40
4,2,12,16,39
14,6,8,18,45
18,19,5,22,43
24,10,5,23,33
1,0,21,21,47
12,15,7,15,5
25,19,0,11,4
12,24,13,20,29
4,23,5,14,26
13,22,12,25,36
4,7,14,25,14
18,7,22,19,9
10,9,21,13,0
1,10,9,12,3
21,22,25,8,11
7,24,7,16,38
12,16,16,5,34
11,13,9,4,9
24,24,13,8,36
4,15,23,8,19
22,7,8,9,17
21,16,6,0,13
19,3,25,3,21
11,5,13,2,2
6,13,8,2,31
25,6,23,9,31
2,9,25,15,32
14,12,18,22,8
2,16,8,25,48
17,1,6,1,1
11,25,11,10,38
8,22,9,7,0
25,5,13,3,7
6,11,23,11,42
23,5,15,539,19
