85,3,50
671,606,716
11,9,7,40
2,6,2,14
9,7,10,46
5,11,2,34
6,9,0,1
7,9,11,20
2,3,3,12
5,2,6,46
4,0,5,24
5,4,11,25
10,8,10,35
10,4,5,28
3,10,2,35
10,4,8,32
11,7,1,22
6,9,2,15
7,6,2,50
6,2,11,18
10,10,2,48
10,3,6,14
0,7,0,29
6,11,9,33
3,9,3,34
3,3,5,8
1,7,9,28
0,4,7,6
7,5,8,24
2,1,8,36
2,2,8,4
0,10,6,50
9,11,2,36
4,6,1,17
8,7,4,41
3,10,3,33
8,9,6,18
1,4,4,38
0,9,7,1
3,5,11,40
9,11,6,2
3,8,7,42
3,2,1,34
0,4,11,44
6,6,2,4
0,10,2,46
6,2,4,22
0,1,8,12
4,11,3,28
2,7,11,34
11,8,5,44
10,7,10,38
7,4,6,45
1,9,6,14
5,3,1,40
5,8,8,33
5,1,8,46
5,9,0,23
2,5,8,25
6,5,10,18
6,3,7,19
10,11,11,26
8,11,4,14
0,11,0,20
4,8,6,6
2,8,8,46
10,9,2,49
2,4,1,46
3,7,0,25
6,7,11,16
11,10,10,26
5,11,4,19
5,3,10,2
11,10,9,39
11,9,7,27
8,10,0,4
7,9,7,25
6,0,4,2
11,3,7,45
10,10,8,32
5,8,9,43
11,2,4,46
8,7,2,37
0,1,3,9
1,7,2,48
5,0,11,3
6,4,514,5
