55,3,50
257,836,624
6,13,18,50
17,7,9,44
10,14,1,29
16,2,5,33
18,4,14,24
15,9,0,9
5,18,7,26
5,9,6,35
7,10,5,11
3,4,11,20
10,15,3,44
15,5,14,21
15,2,7,7
11,1,2,11
18,11,12,11
2,5,9,42
14,12,0,27
4,18,8,40
18,12,15,27
10,4,4,0
9,12,6,3
2,0,17,16
0,6,14,11
8,4,3,0
0,0,6,19
10,18,12,28
13,13,3,7
18,0,4,5
2,15,17,4
4,16,1,23
1,4,14,12
17,10,6,9
3,3,16,23
6,17,4,9
7,5,10,29
11,13,10,48
18,4,0,18
1,8,0,36
5,15,16,17
9,3,14,20
10,4,0,44
18,10,1,42
10,10,15,1
10,6,4,20
8,12,18,18
1,2,1,39
5,9,15,20
9,1,18,39
11,17,18,25
7,0,10,36
7,0,8,3
3,1,6,17
1,4,10,46
6,16,12,45
11,8,337,5
