40,5,50
383,955,442,128,715
7,18,16,15,23,47
14,2,23,19,8,43
15,21,19,17,7,12
25,24,21,16,19,3
14,22,2,21,12,49
19,5,12,2,22,0
25,5,0,15,11,27
6,15,9,23,16,44
11,12,2,11,21,18
2,11,9,25,1,3
19,20,20,18,13,27
9,22,9,22,18,18
0,11,19,22,21,46
12,15,5,23,3,8
1,25,3,23,9,36
25,20,15,1,14,8
20,16,12,25,8,40
10,24,10,1,16,18
5,7,2,5,16,10
25,5,5,0,2,47
18,2,8,8,22,25
4,10,2,13,11,13
18,23,10,17,5,50
7,7,3,6,4,33
3,20,1,1,23,32
11,11,17,9,6,29
1,11,24,15,12,9
2,12,6,15,8,19
25,25,18,6,22,49
0,0,20,5,19,22
6,1,13,2,1,23
1,16,1,24,11,32
8,1,20,14,19,39
25,11,4,20,10,27
25,4,11,6,9,15
9,2,23,20,18,15
5,0,0,16,16,3
5,6,21,16,25,32
23,13,4,0,20,34
6,3,3,25,194,11
