100,4,50
975,688,195,793
7,8,3,10,46
10,2,6,4,6
7,1,10,8,31
9,9,0,0,5
4,0,4,8,25
6,10,8,3,8
8,10,10,1,32
7,6,10,0,29
4,7,10,5,2
6,2,5,8,28
3,7,0,4,23
0,2,8,8,42
10,5,8,9,39
4,4,1,2,21
4,2,0,10,27
10,1,3,3,5
7,4,3,3,28
10,6,5,5,7
2,4,2,1,18
1,2,6,5,13
9,9,9,10,50
8,5,4,0,33
0,6,3,7,22
10,0,9,10,14
9,2,3,4,28
10,9,7,9,15
8,4,10,4,21
8,8,4,7,31
8,7,9,9,26
4,1,7,2,47
2,3,5,7,45
4,4,6,9,32
6,10,6,6,27
7,3,1,7,35
2,1,1,4,11
1,9,10,5,11
9,5,5,7,28
0,10,10,0,49
9,3,10,6,36
10,4,0,2,1
8,8,6,9,19
0,6,4,2,3
7,10,8,1,29
4,5,1,10,45
6,0,0,4,29
6,0,8,8,20
6,9,8,5,9
2,5,7,2,16
1,7,0,2,29
0,9,8,2,38
6,8,10,4,9
5,5,6,6,40
6,1,6,5,11
10,9,8,4,2
6,0,1,1,19
5,2,10,0,48
4,9,3,2,21
3,6,8,8,28
8,4,7,2,27
0,3,8,6,3
7,0,0,3,16
5,10,3,9,49
3,7,1,4,22
8,1,4,9,3
0,8,8,9,13
0,7,2,0,47
0,3,5,6,32
7,6,9,0,43
6,6,5,5,50
1,4,3,0,13
9,8,7,8,50
6,8,3,10,41
1,9,8,1,20
5,8,0,9,0
1,6,2,9,26
5,6,4,2,20
0,2,10,5,6
8,10,10,3,35
9,3,1,9,30
10,1,6,7,3
10,7,4,0,49
5,8,9,1,40
10,5,2,2,13
7,7,2,9,16
9,10,10,5,15
4,5,10,2,11
0,4,0,8,39
2,3,3,9,15
2,10,5,4,47
4,0,2,6,23
5,8,4,4,22
2,3,9,4,12
4,9,5,5,43
7,3,5,3,37
8,6,7,6,3
4,1,3,7,27
0,7,5,9,28
2,8,1,2,6
4,3,0,8,41
1,6,0,595,14
