45,6,50
411,900,229,138,708,954
3,14,13,0,8,22,10
21,15,1,9,13,8,37
21,18,10,14,10,8,0
0,3,19,18,1,21,28
8,12,21,22,17,2,6
17,19,5,11,21,8,10
20,4,22,12,10,15,19
9,3,17,15,21,22,16
16,6,4,21,20,0,4
5,9,13,9,18,11,17
3,0,19,15,5,14,13
15,18,10,8,22,13,23
8,16,6,5,9,16,19
2,6,15,14,12,9,5
19,22,21,14,9,5,24
17,11,3,16,21,8,44
2,9,21,17,22,3,39
7,4,0,0,14,21,20
4,17,7,5,22,6,37
7,14,17,13,6,22,29
11,7,15,1,15,22,44
6,18,13,7,19,14,3
18,9,9,10,14,20,1
18,8,18,13,14,10,22
17,22,19,10,8,1,11
12,13,17,7,15,2,33
19,7,10,19,6,9,21
13,3,20,11,15,18,46
2,4,13,14,3,15,39
13,11,7,13,17,14,33
11,20,20,3,6,5,7
19,16,15,14,10,8,26
1,10,13,7,3,5,44
18,12,22,10,8,11,10
3,21,1,8,1,4,28
1,19,14,12,6,4,32
19,13,19,5,17,13,44
21,1,13,22,18,18,40
17,6,21,9,11,2,26
11,9,4,16,22,13,45
14,5,1,16,18,15,45
12,17,17,8,3,18,5
9,6,3,0,10,10,47
5,1,0,12,21,2,37
4,4,2,16,9,252,37
