30,5,50
826,428,885,386,806
20,4,11,5,15,4
4,27,32,32,2,45
24,27,3,5,26,34
0,10,26,0,22,38
21,8,20,33,10,36
15,33,19,8,3,22
21,1,18,20,30,50
10,22,28,16,25,3
26,6,21,29,9,8
19,23,15,17,10,2
15,20,10,13,14,16
2,20,21,1,31,9
8,18,31,8,25,2
18,30,3,18,1,24
18,0,17,10,12,12
9,12,1,27,19,34
29,19,29,16,24,28
14,4,4,25,23,0
29,24,0,6,25,39
8,21,15,9,1,4
30,25,26,7,30,25
1,24,22,24,21,49
14,0,31,7,14,26
26,4,10,27,4,21
30,13,5,28,16,46
14,3,15,10,4,13
0,33,23,5,22,34
15,26,4,11,22,42
21,3,9,22,12,29
4,1,12,9,1004,29
