65,3,50
316,647,744
9,3,0,2
6,1,10,7
10,6,5,3
7,0,12,16
2,10,9,3
11,7,11,50
0,13,7,18
15,3,13,11
11,14,13,0
1,8,10,24
12,3,13,7
5,12,13,3
15,3,13,29
2,10,6,18
6,13,7,35
3,1,10,23
6,15,10,39
6,2,2,49
8,15,7,45
0,6,8,17
9,6,4,23
7,5,13,39
10,0,12,38
6,15,6,5
1,13,13,49
13,7,10,46
7,3,9,0
14,3,5,30
8,10,6,5
1,14,9,43
6,14,15,35
1,6,7,9
5,1,0,11
13,14,10,42
0,7,13,8
8,13,13,20
3,8,12,18
9,14,0,50
0,1,7,35
12,14,7,45
10,2,11,32
15,0,11,20
13,2,11,50
6,12,7,4
4,7,13,26
8,12,12,35
1,14,12,16
15,14,14,33
8,9,4,9
11,5,4,28
4,12,10,2
0,8,12,34
1,15,1,16
4,1,4,14
0,0,6,33
2,14,2,5
7,14,5,20
9,4,14,19
14,14,2,18
13,7,3,20
3,10,1,50
5,4,1,33
7,13,14,34
12,8,13,29
14,8,194,34
