35,5,50
576,873,35,344,940
26,26,28,19,13,13
17,9,21,24,19,21
22,19,7,6,6,5
24,8,25,12,3,5
27,13,2,5,6,18
6,1,7,12,16,15
27,18,10,15,21,42
19,13,24,28,21,18
25,18,28,13,25,22
1,12,27,14,24,24
11,16,4,27,28,45
5,4,9,10,9,33
15,28,25,10,28,10
4,16,7,18,10,16
2,11,24,7,13,25
26,15,0,10,11,4
22,15,11,4,23,14
7,18,9,17,9,47
23,25,6,9,7,29
23,17,16,9,10,5
28,18,27,22,16,15
19,6,28,3,15,43
28,18,7,1,19,34
3,21,21,9,19,38
14,27,14,11,16,23
20,27,10,22,9,35
3,23,19,4,13,24
10,12,0,16,9,9
25,6,5,22,13,11
9,19,2,5,14,50
6,2,24,21,3,39
22,14,10,10,8,48
13,8,11,0,24,48
12,11,18,5,24,50
18,21,1,6,254,35
