40,4,50
58,418,52,502
5,0,4,2,22
19,5,19,20,29
16,19,14,1,9
20,7,0,14,5
21,9,0,2,42
9,2,11,22,43
14,10,17,20,38
16,2,25,20,38
14,19,1,24,36
4,3,6,7,34
18,17,19,21,23
2,12,15,10,45
22,19,16,2,16
22,15,17,14,17
18,5,0,3,16
16,10,4,24,21
17,6,16,20,11
24,1,8,14,26
7,15,22,9,36
25,13,8,21,41
9,19,0,12,46
1,13,11,23,7
7,11,19,1,48
16,1,5,25,6
18,7,16,10,45
6,13,18,2,2
15,21,24,18,26
12,13,23,0,47
21,24,21,15,37
15,0,21,6,45
14,5,7,18,50
3,7,12,18,42
5,15,8,4,3
0,10,7,17,35
2,12,9,4,35
22,5,15,20,42
9,5,17,25,24
22,22,11,5,32
10,17,12,4,23
21,13,6,19,46
