20,9,50
306,405,776,823,927,570,165,83,531
16,10,43,49,30,23,9,37,17,46
38,35,42,49,43,10,35,17,50,20
38,13,35,38,33,22,21,44,38,15
29,8,27,26,10,32,23,33,48,43
29,12,25,42,46,19,34,0,18,28
17,13,16,14,11,29,26,32,48,3
20,9,38,0,34,1,8,35,38,5
48,50,36,8,26,5,40,4,4,43
23,36,35,15,13,38,7,40,24,21
9,22,19,2,21,5,47,36,23,7
42,28,13,16,24,11,14,41,30,38
40,28,40,2,19,7,32,32,42,13
29,26,23,4,13,12,14,0,7,21
1,3,23,6,26,18,33,4,48,33
20,19,48,49,13,48,23,6,46,49
7,24,48,50,17,46,28,48,0,7
17,23,2,5,40,36,42,14,12,39
50,41,6,12,13,35,47,15,14,47
20,19,0,20,18,39,35,50,32,45
16,46,33,43,27,31,44,40,37,30
