25,10,50
524,797,676,808,823,389,375,259,868,668
16,16,13,22,34,20,3,36,39,38,26
40,23,26,27,34,26,8,24,14,18,32
23,26,2,36,0,40,38,11,19,7,35
40,22,34,8,7,18,11,15,33,21,18
20,37,34,11,36,6,39,29,2,14,0
29,20,5,40,11,38,30,1,21,4,30
24,15,27,38,16,25,37,16,16,27,48
26,14,39,28,34,39,34,30,27,38,32
11,18,37,28,38,9,25,29,3,18,34
39,4,29,30,29,27,26,19,35,27,45
6,6,36,39,0,19,21,10,7,18,23
3,23,12,23,34,25,14,27,0,19,7
20,15,28,17,8,39,26,12,30,19,16
36,26,9,31,38,22,5,9,29,11,14
8,36,28,2,5,11,11,18,36,40,21
2,17,13,28,34,23,19,14,22,17,41
32,14,40,31,28,36,14,38,38,31,28
36,7,1,27,9,1,21,3,34,21,48
20,17,36,32,1,5,38,23,8,23,32
40,38,25,37,9,21,10,33,34,16,7
27,18,9,23,1,24,25,15,2,18,1
15,28,14,36,2,6,6,24,26,36,5
13,7,0,38,6,23,28,10,36,6,15
32,38,25,28,31,7,33,5,1,9,41
9,37,10,7,1,20,1,9,4,928,4
