60,4,50
939,865,603,827
3,9,0,11,18
7,14,5,6,29
9,5,12,8,50
1,10,6,13,1
8,11,1,16,1
12,13,0,3,11
14,3,11,8,31
3,10,10,5,15
1,1,2,15,42
7,13,0,13,11
2,6,16,8,0
16,0,11,12,32
7,10,15,13,26
6,0,2,13,43
4,6,15,9,48
16,11,4,15,14
5,0,3,6,14
6,5,8,4,16
2,4,13,5,28
6,7,9,5,3
1,1,9,10,44
10,5,6,1,14
3,3,6,13,6
5,5,13,5,50
10,10,8,4,10
5,12,6,1,49
14,12,6,9,47
8,2,2,11,12
15,8,4,6,37
9,12,7,16,10
4,2,15,3,2
11,9,10,16,15
6,11,0,3,39
8,8,11,15,20
7,6,11,13,3
11,13,14,0,48
0,1,7,5,44
10,11,4,12,19
4,14,14,15,31
11,11,16,14,49
3,11,6,10,17
15,10,0,12,29
7,9,10,0,37
0,3,16,15,29
15,14,0,10,27
15,15,7,8,48
9,4,6,6,11
8,14,6,3,32
10,12,8,5,47
16,10,0,8,9
15,4,3,9,4
14,14,11,8,29
9,15,7,6,12
7,3,13,7,1
4,8,7,3,19
4,5,9,11,32
1,16,4,12,47
3,4,10,16,40
0,16,14,11,17
5,15,10,1312,6
