85,3,50
413,270,840
7,1,10,19
6,6,9,1
0,3,4,2
4,11,1,38
10,0,8,32
2,4,10,45
5,8,6,40
5,3,6,32
8,0,9,38
8,6,7,4
5,3,6,2
2,9,0,25
9,9,5,10
2,0,6,15
2,11,6,37
3,10,8,47
10,9,5,16
4,9,7,30
7,0,2,24
10,3,11,8
9,8,2,19
8,1,4,27
6,11,8,31
2,10,1,10
7,4,1,34
11,0,9,36
8,1,5,41
10,11,4,43
4,6,4,6
10,0,7,13
10,4,9,2
10,4,6,13
1,6,10,34
5,11,7,27
9,7,6,38
7,1,6,30
0,2,9,29
10,8,7,28
10,1,8,40
2,8,2,20
9,3,11,41
6,9,3,8
1,2,1,33
4,4,6,44
2,1,3,8
10,7,9,25
9,3,6,19
7,1,1,15
11,10,4,42
10,3,4,5
2,5,11,8
11,5,2,33
9,2,6,22
0,5,4,1
9,5,1,49
5,3,3,8
10,11,9,8
4,4,11,16
2,4,2,27
6,8,5,42
7,6,4,35
0,11,4,32
4,8,11,22
8,4,1,4
8,4,3,47
5,1,3,38
10,4,9,38
10,0,8,39
6,1,7,46
8,5,9,36
11,11,0,48
11,9,6,9
7,6,9,50
5,9,8,14
10,9,9,3
7,1,2,12
11,10,7,14
10,2,8,4
10,11,2,13
4,9,11,23
0,4,8,18
0,9,11,36
6,6,8,43
1,4,11,1
10,1,28,36
